feature,importance
card1_target_enc,18
C14,8
card1_fraud_count,7
log_TransactionAmt,6
V307,6
card1_amount_ratio,6
C11,5
D1,5
C13,4
D2,4
V49,4
C1,4
V317,3
V312,3
V308,3
V70,3
V201,3
card1_TransactionAmt_count,2
D8,2
seq_emb_29,2
addr2_time_since_first,2
M4,2
D5,2
TransactionAmt,2
D15,2
P_emaildomain_target_enc,2
C2,2
V280,2
card3_fraud_count,2
M6,1
ProductCD,1
V91,1
P_emaildomain_time_since_first,1
P_emaildomain_dist1_sum,1
card1_component_size,1
V314,1
card1_time_since_first,1
P_emaildomain_dist2_sum,1
seq_emb_1,1
card5_fraud_count,1
V282,1
V306,1
D4,1
C5,1
V95,1
id_31_fraud_count,1
V188,1
D10,1
card1_dist1_mean,1
C10,1
V170,1
id_30_fraud_count,1
V310,1
V36,0
V288,0
V19,0
seq_emb_16,0
cumulative_spend_HistoryFeature_1h,0
card1_TransactionAmt_sum,0
cumulative_spend_HistoryFeature_1day,0
P_emaildomain_dist1_mean,0
V76,0
V131,0
V287,0
V30,0
V20,0
card3,0
V245,0
V259,0
V171,0
C7,0
C12,0
id_17,0
C8,0
C4,0
V262,0
id_31_first_seen_dt,0
V256,0
V197,0
M2,0
M3,0
M1,0
id_31,0
V251,0
V149,0
V283,0
card1+addr1_dist1_mean,0
V156,0
id_04,0
V198,0
V52,0
V195,0
id_05,0
DeviceType,0
D11,0
id_20,0
addr1_fraud_count,0
card6,0
DeviceInfo,0
V194,0
V158,0
V153,0
V294,0
V148,0
V255,0
V250,0
V155,0
V154,0
devinfo_hash_bucket,0
V260,0
V40,0
card2_fraud_count,0
DeviceType_fraud_count,0
V67,0
V157,0
seq_emb_4,0
V128,0
V303,0
D9,0
V97,0
M9,0
M8,0
V126,0
P_emaildomain,0
dist1,0
V304,0
seq_emb_18,0
V62,0
card1+addr1_dist2_sum,0
seq_emb_24,0
V81,0
seq_emb_7,0
C6,0
seq_emb_20,0
V140,0
V43,0
V83,0
P_emaildomain_TransactionAmt_mean,0
seq_emb_28,0
seq_emb_30,0
seq_emb_27,0
seq_emb_3,0
seq_emb_13,0
seq_emb_9,0
P_emaildomain_dist2_mean,0
card1_amount_delta,0
seq_emb_19,0
V279,0
V139,0
seq_emb_31,0
card1_unique_device,0
TransactionDT_hour,0
seq_emb_21,0
V66,0
seq_emb_10,0
seq_emb_0,0
V292,0
seq_emb_6,0
V60,0
seq_emb_2,0
P_emaildomain_fraud_count,0
V61,0
seq_emb_17,0
seq_anomaly_score,0
dist2,0
seq_emb_8,0
V130,0
card1_dist2_sum,0
V85,0
seq_emb_14,0
C9,0
time_since_last_transaction_HistoryFeature_1day,0
time_since_last_transaction_HistoryFeature_1h,0
R_emaildomain_fraud_count,0
card1_unique_email,0
seq_emb_11,0
card1,0
V82,0
card1+addr1_dist2_count,0
R_emaildomain,0
V222,0
V261,0
addr1,0
card1+addr1_TransactionAmt_mean,0
id_03,0
D3,0
id_09,0
id_02,0
card1+addr1_dist2_mean,0
id_13,0
id_01,0
card1_TransactionAmt_mean,0
id_16,0
id_15,0
card1+addr1_dist1_count,0
card1+addr1_TransactionAmt_count,0
card2_time_since_first,0
card2,0
card1_dist1_sum,0
seq_emb_23,0
V54,0
seq_emb_26,0
card1_unique_addr1,0
card1_entity_diversity,0
card1+addr1_TransactionAmt_sum,0
V64,0
V315,0
seq_emb_12,0
V291,0
V289,0
seq_emb_5,0
tx_count_last_86400s_HistoryFeature_1day,0
seq_emb_25,0
card3_time_since_first,0
card5_time_since_first,0
DeviceType_time_since_first,0
addr2_fraud_count,0
R_emaildomain_time_since_first,0
addr1_time_since_first,0
V127,0
card1+addr1_dist1_sum,0
card1_dist1_count,0
card5,0
V96,0
V13,0
P_emaildomain_TransactionAmt_sum,0
V313,0
seq_emb_15,0
seq_emb_22,0
id_30_time_since_first,0
P_emaildomain_dist2_count,0
id_31_time_since_first,0
card1_dist2_count,0
id_19,0
V221,0
id_10,0
addr1_target_enc,0
card1_dist2_mean,0
id_12,0
id_06,0
id_37,0
id_28,0
id_38,0
id_35,0
id_29,0
P_emaildomain_dist1_count,0
P_emaildomain_TransactionAmt_count,0
card1_first_seen_dt,0
id_32,0
V11,0
V99,0
id_34,0
V100,0
tx_count_last_3600s_HistoryFeature_1h,0
id_14,0
V26,0
V189,0
V200,0
