feature,importance
card1_target_enc_TargetEncoderFeature_high,687
log_TransactionAmt,633
C13,559
P_emaildomain_dist1_mean,501
P_emaildomain_TransactionAmt_mean,483
addr1_fraud_count,450
addr1,437
D15,414
P_emaildomain_dist2_mean,409
card1_fraud_count,403
card2_fraud_count,384
C1,369
card1_amount_ratio,368
card2_target_enc_TargetEncoderFeature_high,359
addr1_target_enc_TargetEncoderFeature_high,357
D1,345
card1,337
card5_fraud_count,323
card1+addr1_dist2_mean,312
card1+addr1_dist1_mean,311
card1+addr1_TransactionAmt_mean,309
C14,308
D4,308
card1_target_enc_TargetEncoderFeature_low,301
D10,294
D2,291
dist1,271
card1_dist2_mean,265
card1_TransactionAmt_mean,258
time_since_last_transaction,257
card1_dist1_mean,257
R_emaildomain_fraud_count,254
card2,245
P_emaildomain_fraud_count,239
C6,239
C2,238
TransactionDT_hour,236
P_emaildomain_target_enc_TargetEncoderFeature_high,233
card1+addr1_TransactionAmt_sum,231
id_31_fraud_count,230
card1_dist2_sum,226
card1_amount_delta,226
card1+addr1_dist1_sum,222
D8,219
C11,213
D3,211
card3_fraud_count,210
addr1_target_enc_TargetEncoderFeature_low,208
P_emaildomain_dist2_sum,199
id_20,198
id_31_time_since_first,193
id_30_fraud_count,193
card1+addr1_TransactionAmt_count,190
seq_emb_54,186
seq_emb_8,184
card1_velocity,183
card1_entity_diversity,180
card1_dist1_sum,175
D11,175
card1+addr1_dist2_sum,171
P_emaildomain_dist1_sum,168
card1_unique_addr1,165
DeviceType_fraud_count,165
card1_TransactionAmt_count,161
seq_emb_57,161
card1_acceleration,160
card1_unique_device,158
seq_emb_61,155
M4,153
card1_TransactionAmt_sum,149
P_emaildomain_TransactionAmt_sum,149
DeviceInfo,144
C9,141
V310,139
R_emaildomain,139
id_31,135
seq_emb_38,134
seq_emb_16,133
V307,130
P_emaildomain,129
P_emaildomain_dist2_count,128
card1_time_since_first,128
seq_emb_56,125
seq_emb_20,120
id_19,119
D5,119
seq_anomaly_score,119
seq_emb_36,118
TransactionAmt,115
seq_emb_46,115
seq_emb_53,113
seq_emb_63,112
card1_unique_email,109
seq_emb_2,108
M6,108
id_06,107
seq_emb_39,107
seq_emb_62,106
seq_emb_49,106
devinfo_hash_bucket,105
id_30_time_since_first,104
C5,102
seq_emb_44,102
V83,102
seq_emb_29,100
seq_emb_50,100
seq_emb_25,98
V313,96
seq_emb_0,96
seq_emb_35,96
seq_emb_60,96
C8,95
addr1_time_since_first,94
seq_emb_26,94
id_02,93
seq_emb_6,93
seq_emb_34,92
seq_emb_10,92
seq_emb_14,91
dist2,91
V317,91
ProductCD,90
seq_emb_7,87
seq_emb_33,87
seq_emb_52,87
tx_count_last_3600s,87
V54,85
seq_emb_24,85
seq_emb_28,85
V82,83
card5_target_enc_TargetEncoderFeature_high,81
seq_emb_5,80
seq_emb_30,80
seq_emb_21,79
seq_emb_47,78
seq_emb_1,78
seq_emb_9,78
seq_emb_31,77
C10,76
seq_emb_58,75
seq_emb_23,69
V201,67
card1_first_seen_dt,66
V308,65
seq_emb_37,65
seq_emb_11,63
seq_emb_19,63
seq_emb_15,62
id_05,62
seq_emb_41,61
id_01,60
seq_emb_27,59
V62,59
M3,59
V70,57
V13,57
V283,57
V127,56
addr2_fraud_count,56
card5,55
seq_emb_22,55
V315,55
seq_emb_59,55
V294,54
seq_emb_3,54
seq_emb_51,54
V312,50
card1_component_size,50
seq_emb_40,50
DeviceType,50
card2_time_since_first,49
V91,49
V314,48
V261,48
V156,47
C4,46
D9,46
seq_emb_45,46
id_14,46
V99,46
V61,46
seq_emb_4,45
V282,45
V221,45
seq_emb_43,44
V306,44
seq_emb_48,44
seq_emb_12,44
V259,43
V30,42
seq_emb_13,41
V36,40
V130,40
card1_dist1_count,40
V49,39
seq_emb_42,38
seq_emb_18,38
id_31_first_seen_dt,38
M8,37
V131,37
card1+addr1_dist1_count,36
V291,36
C12,34
seq_emb_17,34
id_13,34
V126,33
V170,33
seq_emb_55,32
V19,32
V189,32
V128,30
id_04,30
V20,30
V81,30
id_17,30
V280,30
V76,29
V96,29
V11,29
V67,28
V245,27
card5_time_since_first,27
V149,27
V171,25
V40,24
V26,23
id_03,23
V60,23
V97,22
card6,22
V52,22
id_09,22
P_emaildomain_dist1_count,21
cumulative_spend,21
id_38,20
M2,19
addr2_time_since_first,19
id_37,19
seq_emb_32,19
C7,18
V200,17
M9,17
V292,16
V66,14
V288,13
R_emaildomain_time_since_first,13
V251,13
V279,13
V64,12
id_34,12
V262,12
id_16,12
V256,12
id_32,12
V155,12
V222,11
V157,10
V154,10
V139,10
V153,10
V158,9
V289,9
card3,8
V260,7
V43,7
V85,7
card1_dist2_count,7
V140,7
V100,6
id_12,5
card3_time_since_first,5
id_10,5
id_15,5
V188,4
V303,4
P_emaildomain_TransactionAmt_count,4
V287,4
card1+addr1_dist2_count,4
P_emaildomain_time_since_first,3
id_35,3
id_29,3
DeviceType_time_since_first,3
V304,2
V148,2
V255,1
V197,1
V194,1
V198,1
M1,1
V195,1
V95,1
id_28,1
V250,0
