feature,psi,drifted
card1_first_seen_dt,9.950884,True
id_31_first_seen_dt,8.875061,True
card2_fraud_count,8.418055,True
addr1_fraud_count,8.390184,True
card5_fraud_count,8.305539,True
P_emaildomain_fraud_count,8.299327,True
id_31_fraud_count,8.29137,True
time_since_last_transaction,8.28851,True
id_30_fraud_count,8.28794,True
card3_fraud_count,8.287901,True
R_emaildomain_fraud_count,8.285376,True
addr2_fraud_count,8.283261,True
DeviceType_fraud_count,8.283224,True
P_emaildomain_time_since_first,8.283057,True
addr2_time_since_first,8.283057,True
DeviceType_time_since_first,8.283057,True
addr1_time_since_first,8.283057,True
card1_time_since_first,8.283057,True
card2_time_since_first,8.283057,True
card3_time_since_first,8.283057,True
id_30_time_since_first,8.283057,True
card5_time_since_first,8.283057,True
id_31_time_since_first,8.283057,True
R_emaildomain_time_since_first,8.283057,True
TransactionDT_hour,8.259677,True
card1_acceleration,7.198239,True
card1_velocity,7.140599,True
card1_component_size,6.817918,True
card1_fraud_count,5.260186,True
P_emaildomain_dist2_sum,3.233427,True
P_emaildomain_TransactionAmt_sum,3.092221,True
P_emaildomain_dist2_count,3.090948,True
P_emaildomain_dist1_count,3.090948,True
P_emaildomain_TransactionAmt_count,3.090948,True
P_emaildomain_dist1_sum,3.010953,True
tx_count_last_3600s,2.671393,True
P_emaildomain_dist2_mean,1.617284,True
card1_unique_device,1.415509,True
P_emaildomain_TransactionAmt_mean,1.278449,True
card1_entity_diversity,1.073041,True
card1_dist2_sum,0.951652,True
card1_dist1_count,0.914103,True
card1_TransactionAmt_count,0.914103,True
card1_dist2_count,0.914103,True
cumulative_spend,0.864958,True
card1_TransactionAmt_sum,0.864958,True
P_emaildomain_dist1_mean,0.796955,True
card1_unique_email,0.568503,True
card1_dist1_sum,0.491941,True
card1_unique_addr1,0.352037,True
card1_dist2_mean,0.306837,True
card1+addr1_dist2_sum,0.281275,True
card1+addr1_TransactionAmt_sum,0.274624,True
card1+addr1_dist1_sum,0.268816,True
card1+addr1_dist2_count,0.259106,True
card1+addr1_TransactionAmt_count,0.259106,True
card1+addr1_dist1_count,0.259106,True
id_02,0.251582,True
card1+addr1_dist2_mean,0.241522,False
id_13,0.232706,False
id_31,0.187139,False
D11,0.18397,False
card1_dist1_mean,0.139216,False
M8,0.121866,False
card1+addr1_dist1_mean,0.116992,False
card1+addr1_TransactionAmt_mean,0.087463,False
card1_TransactionAmt_mean,0.075434,False
card5_target_enc_TargetEncoderFeature_high,0.072122,False
D15,0.065747,False
V11,0.064523,False
C9,0.05606,False
D10,0.045361,False
id_20,0.028053,False
M9,0.027679,False
card1_amount_ratio,0.025984,False
D4,0.025461,False
V99,0.025382,False
V130,0.025193,False
C12,0.024798,False
V96,0.024735,False
D1,0.0241,False
M3,0.023188,False
V127,0.022315,False
id_17,0.020989,False
ProductCD,0.020253,False
V54,0.019529,False
C13,0.019067,False
D3,0.018984,False
id_19,0.017971,False
D2,0.017231,False
DeviceInfo,0.01715,False
id_05,0.016941,False
M2,0.016904,False
id_34,0.016728,False
C8,0.016575,False
C10,0.016455,False
card1_amount_delta,0.016309,False
V303,0.01557,False
V304,0.01542,False
V307,0.015297,False
D5,0.015288,False
V283,0.013566,False
R_emaildomain,0.013232,False
V36,0.013037,False
V310,0.012475,False
V282,0.011807,False
V13,0.011526,False
DeviceType,0.011349,False
C2,0.010974,False
devinfo_hash_bucket,0.010686,False
V100,0.010406,False
C4,0.010337,False
seq_emb_21,0.009681,False
seq_emb_48,0.00955,False
V131,0.009516,False
V128,0.009475,False
V97,0.009468,False
dist1,0.009033,False
V76,0.008838,False
V280,0.008747,False
C1,0.008677,False
seq_emb_45,0.008571,False
card5,0.008375,False
seq_emb_38,0.007338,False
C6,0.0073,False
seq_emb_55,0.007251,False
seq_emb_9,0.006888,False
V308,0.00687,False
V312,0.006845,False
V287,0.006634,False
seq_emb_5,0.006316,False
id_32,0.006143,False
card2,0.006138,False
V91,0.006051,False
seq_emb_31,0.005961,False
seq_anomaly_score,0.005768,False
seq_emb_34,0.00571,False
seq_emb_51,0.005535,False
V49,0.005434,False
seq_emb_8,0.005414,False
C14,0.005381,False
seq_emb_10,0.005377,False
seq_emb_53,0.005245,False
seq_emb_36,0.005245,False
seq_emb_14,0.005164,False
seq_emb_19,0.005145,False
M6,0.005051,False
V26,0.004955,False
seq_emb_18,0.004933,False
seq_emb_29,0.004758,False
seq_emb_2,0.004675,False
seq_emb_61,0.00467,False
seq_emb_16,0.004661,False
seq_emb_17,0.004637,False
seq_emb_25,0.0046,False
seq_emb_54,0.004594,False
seq_emb_24,0.004541,False
id_14,0.004519,False
seq_emb_43,0.004444,False
seq_emb_63,0.004401,False
addr1_target_enc_TargetEncoderFeature_low,0.004236,False
seq_emb_46,0.004234,False
id_37,0.004183,False
V126,0.004149,False
V95,0.004145,False
seq_emb_28,0.004097,False
P_emaildomain,0.004048,False
M4,0.003992,False
TransactionAmt,0.003976,False
log_TransactionAmt,0.003976,False
card6,0.003959,False
dist2,0.00393,False
addr1_target_enc_TargetEncoderFeature_high,0.003841,False
seq_emb_49,0.003821,False
V70,0.003767,False
V30,0.003746,False
seq_emb_7,0.003745,False
seq_emb_26,0.003713,False
V313,0.003691,False
card2_target_enc_TargetEncoderFeature_high,0.003624,False
seq_emb_37,0.003586,False
id_28,0.003584,False
seq_emb_6,0.003576,False
V279,0.003552,False
V67,0.003536,False
seq_emb_57,0.003519,False
P_emaildomain_target_enc_TargetEncoderFeature_high,0.003495,False
seq_emb_35,0.00349,False
V306,0.003464,False
seq_emb_41,0.003444,False
seq_emb_20,0.003355,False
seq_emb_58,0.003351,False
V314,0.00335,False
id_29,0.002927,False
card1,0.002905,False
id_38,0.002901,False
addr1,0.002805,False
V66,0.002752,False
seq_emb_30,0.002701,False
V288,0.002648,False
C11,0.002606,False
seq_emb_32,0.002581,False
C5,0.002567,False
seq_emb_15,0.002548,False
card1_target_enc_TargetEncoderFeature_high,0.002493,False
V289,0.002461,False
seq_emb_56,0.002416,False
card1_target_enc_TargetEncoderFeature_low,0.002405,False
id_12,0.002391,False
V315,0.002273,False
V317,0.002257,False
seq_emb_27,0.002188,False
V294,0.002173,False
C7,0.002156,False
seq_emb_40,0.002118,False
seq_emb_60,0.002097,False
seq_emb_4,0.001978,False
seq_emb_50,0.001964,False
seq_emb_33,0.001956,False
seq_emb_23,0.001922,False
seq_emb_0,0.001896,False
seq_emb_1,0.001756,False
seq_emb_47,0.001743,False
id_15,0.001724,False
seq_emb_22,0.001715,False
seq_emb_11,0.001658,False
seq_emb_62,0.001658,False
seq_emb_52,0.001603,False
id_06,0.001585,False
id_35,0.001482,False
seq_emb_39,0.001431,False
seq_emb_59,0.001412,False
seq_emb_12,0.001389,False
V221,0.001368,False
V255,0.001368,False
V250,0.001368,False
V259,0.001368,False
V245,0.001368,False
V256,0.001349,False
V251,0.001349,False
V222,0.001349,False
seq_emb_3,0.001346,False
seq_emb_44,0.001296,False
id_16,0.001226,False
V83,0.001153,False
V40,0.001065,False
seq_emb_13,0.001041,False
V43,0.001031,False
V82,0.000935,False
seq_emb_42,0.000917,False
V157,0.00078,False
V139,0.00078,False
