feature,importance
card1,2595
card2,1887
addr1,1835
TransactionAmt,1627
C13,994
D15,879
D10,762
card5,761
dist1,748
D1,694
D4,628
D2,577
C1,555
D8,548
D11,506
C14,491
C2,433
C6,394
C11,341
C9,316
D5,300
C5,282
D9,274
V310,273
dist2,264
V313,255
D3,235
V307,220
V315,199
card3,196
V314,167
C8,163
V317,145
C10,142
D14,132
V320,126
V285,123
V130,123
V308,119
V82,115
V312,114
D13,113
V165,112
C12,111
V127,106
V76,102
V54,102
V160,101
V83,100
V62,99
V258,97
V13,96
V61,90
V87,87
D14_isna,85
V20,81
V311,80
V38,77
D6,76
V78,75
V12,75
V136,72
card2_isna,72
V19,71
V294,70
V49,70
V30,69
V281,68
V67,67
C4,66
V56,66
V291,64
V283,63
V282,59
V91,59
V131,58
V36,58
V164,58
V53,56
V70,56
V75,55
V77,54
V166,54
V5,53
V261,53
V99,53
V316,52
V306,52
V133,52
D12,51
V206,50
V309,50
V226,50
V267,48
D7,48
addr2_isna,48
V159,48
V24,48
V143,47
V76_clip_high,47
V45,47
V277,46
card3_clip_high,46
V208,45
V90,45
V271,44
V55,44
V45_clip_high,43
V35,42
V266,42
V234,42
V11,42
C3_clip_high,42
V66,40
V332,40
D5_isna,39
V296,39
V4,39
V69,38
V139,38
V152,38
V29,37
V126,37
D3_isna,37
V62_clip_high,37
V203,37
V224,36
V187,35
V221,35
V86,35
V96,35
V268,34
V289,34
V52,34
V264,33
V207,32
D15_isna,32
V87_clip_high,31
TransactionDT_clip_low,31
V335,31
V81,31
dist1_isna,31
V40,31
V319,30
V156,30
V169,30
card2_clip_high,30
V210,29
V189,29
V35_clip_high,29
D13_isna,29
V129,29
card5_isna,29
V53_isna,28
V44,28
V209,28
V48,28
V6,28
V135,27
dist2_isna,27
V34,27
V26,27
V259,26
V245,26
V102,26
V53_clip_high,26
V23,26
V270,26
V318,25
V332_isna,25
D2_isna,25
V128,25
addr2_clip_low,25
V321,24
V205,24
V293,24
C7,24
V150,24
V12_clip_high,24
V37,23
D4_isna,22
V75_clip_high,22
V43,22
V137,22
V10,21
V201,21
card5_clip_high,21
V331,21
addr1_clip_low,20
V156_clip_high,20
V149,20
V2,20
V204,20
V79_clip_high,20
V292,20
V272,20
V303,20
V265,20
V336,20
TransactionAmt_clip_high,19
V262,19
TransactionDT_clip_high,19
V300,19
V83_clip_high,19
V215,19
V263,19
V278,19
V73,19
V233,19
V51,19
D6_isna,18
D8_isna,18
V323,18
V138_isna,18
V260,18
V149_clip_high,18
V222,17
D1_isna,17
V29_clip_high,17
V202,17
V337,17
V251,16
V124_clip_high,16
V132,16
V144,16
V71,16
D11_isna,16
V232,16
V37_clip_high,16
card1_clip_high,15
V47,15
V108_clip_high,15
V162,15
V145,15
V276,15
V217_isna,15
card3_clip_low,15
V339,15
card5_clip_low,15
V200,14
C1_clip_low,14
V324,14
V220_isna,14
V274,14
V288,14
V304,14
V217,14
V8,14
V212,14
V248,14
V7,13
V214,13
V338,13
V286,13
V124,13
V184,13
V74_clip_high,13
V74,13
V273,13
V283_clip_high,12
V105,12
V297,12
V60,12
V33,12
V287,12
V301,12
V216,12
V220,12
V161,12
V178,11
V170,11
V219,11
V97,11
V295,11
V176,11
V4_clip_high,11
V50,11
V115,11
V213,11
V55_clip_high,11
V229,11
V227_clip_high,11
V231,11
V315_clip_high,10
V109,10
V48_clip_high,10
V50_clip_high,10
C12_clip_high,10
V59,10
V140,10
V85,10
V64,10
C11_clip_low,10
V25,10
V280,10
V227,10
V243,10
V269,10
V224_clip_high,9
V256_clip_high,9
V257,9
V309_clip_high,9
V72,9
V177,9
TransactionAmt_clip_low,9
V54_isna,9
V197_clip_high,9
V159_clip_high,9
V86_clip_high,9
V123,9
V326,9
V146,9
V271_clip_high,9
V151,9
C5_clip_high,9
V183,8
V185,8
V211,8
V134,8
V298_clip_high,8
V125,8
V244,8
D10_isna,8
V333,8
V290,8
V171,8
V13_clip_high,8
V163,8
V298,8
V46,8
V3_clip_high,7
V63,7
card3_isna,7
V104_clip_high,7
V95,7
V92,7
V94,7
V320_clip_high,7
V46_clip_low,7
V228,7
V289_clip_high,7
V313_clip_high,6
V311_clip_high,6
V10_clip_high,6
V25_clip_high,6
V192,6
V6_clip_high,6
V38_clip_high,6
V336_isna,6
addr1_isna,6
V238,6
D7_isna,6
V139_clip_high,6
V158,6
V9,6
V218,6
V17,6
V255,5
V225,5
V237,5
V172,5
addr1_clip_high,5
D8_clip_high,5
V281_clip_high,5
V282_clip_high,5
V92_clip_high,5
V155,5
V167,5
V239,5
V169_isna,5
V96_clip_high,5
V3,5
V299,5
V93_clip_high,5
V78_clip_high,5
V99_clip_high,5
V81_clip_high,5
V218_isna,5
V14_clip_low,5
V42_clip_high,5
V188,4
V138,4
V150_clip_high,4
V151_clip_high,4
V246,4
V12_isna,4
V167_isna,4
V181,4
V31,4
V63_clip_high,4
V80_clip_high,4
V182,4
V45_clip_low,4
V195,4
V223,4
V235,4
V253,4
V275,4
V281_isna,4
C4_clip_high,4
V148,4
V35_isna,4
V116,4
V135_clip_high,4
V101,3
V261_clip_high,3
V15,3
V75_isna,3
V168_isna,3
V61_clip_high,3
V59_clip_high,3
V40_clip_high,3
V334,3
