feature,importance
card1_target_enc,796
log_TransactionAmt,605
C13,524
addr1_fraud_count,446
addr1_target_enc,446
P_emaildomain_TransactionAmt_mean,426
addr1,425
P_emaildomain_dist1_mean,416
card1_fraud_count,387
D15,374
P_emaildomain_dist2_mean,370
card2_fraud_count,361
card1_amount_ratio,344
D1,340
C1,321
card1,315
card5_fraud_count,311
card1_TransactionAmt_mean,287
card1+addr1_TransactionAmt_mean,284
card1+addr1_dist1_mean,278
seq_anomaly_score,277
C14,268
D10,254
card1+addr1_dist1_sum,254
card1_dist2_mean,253
D4,242
card1+addr1_dist2_mean,236
D2,233
tx_count_last_86400s_HistoryFeature_1day,231
card1_amount_delta,228
card2,224
P_emaildomain_fraud_count,224
card1_dist1_mean,223
time_since_last_transaction_HistoryFeature_1h,222
seq_emb_3,219
dist1,218
P_emaildomain_target_enc,209
C11,208
R_emaildomain_fraud_count,208
card1_dist2_sum,207
seq_emb_4,206
card1+addr1_TransactionAmt_sum,206
card1+addr1_dist2_sum,203
seq_emb_25,203
TransactionDT_hour,203
id_31_time_since_first,201
C2,201
C6,200
D8,199
card1_unique_addr1,197
seq_emb_9,196
seq_emb_21,194
id_31_fraud_count,194
seq_emb_18,192
seq_emb_17,189
seq_emb_31,189
seq_emb_14,189
card1_TransactionAmt_count,188
seq_emb_28,188
seq_emb_23,187
seq_emb_13,183
seq_emb_30,182
card1_dist1_sum,178
seq_emb_15,178
seq_emb_2,178
seq_emb_8,177
D11,176
seq_emb_29,172
seq_emb_22,172
seq_emb_26,170
seq_emb_20,169
card1+addr1_TransactionAmt_count,168
card3_fraud_count,167
seq_emb_11,166
seq_emb_27,164
card1_entity_diversity,163
seq_emb_12,163
card1_unique_device,160
seq_emb_7,160
seq_emb_16,160
D3,159
seq_emb_1,155
seq_emb_19,155
seq_emb_24,154
id_20,152
P_emaildomain_dist1_sum,152
seq_emb_5,150
P_emaildomain_dist2_sum,149
DeviceType_fraud_count,146
P_emaildomain,138
M5,137
cumulative_spend_HistoryFeature_1day,136
P_emaildomain_TransactionAmt_count,134
C9,132
seq_emb_10,131
id_30_fraud_count,130
seq_emb_6,130
id_31,130
TransactionAmt,129
card1_time_since_first,124
seq_emb_0,124
DeviceInfo,120
P_emaildomain_TransactionAmt_sum,119
id_19,115
R_emaildomain,109
C5,105
V307,102
M4,98
V310,98
M6,98
TransactionDT_dow,98
devinfo_hash_bucket,96
id_02,92
V313,91
id_06,88
card1_unique_email,87
C8,85
id_30_time_since_first,83
dist2,81
id_05,80
ProductCD,79
card5,79
addr1_time_since_first,79
D13,78
V285,77
D5,77
V317,70
V83,68
card1_first_seen_dt,67
id_30,67
V258,67
id_33,66
tx_count_last_3600s_HistoryFeature_1h,62
M3,60
C10,58
V314,58
addr2_fraud_count,56
V82,55
V315,53
card1_component_size,53
is_integer_amount,52
V165,51
D6,50
V281,50
id_31_first_seen_dt,48
V130,46
id_13,46
V54,45
id_18,44
V13,42
V127,41
V76,41
V294,41
time_since_last_transaction_HistoryFeature_1day,40
card1+addr1_dist1_count,40
V282,40
V312,39
card6,39
card2_time_since_first,38
V311,38
D14_isna,38
V70,37
id_30_first_seen_dt,37
V62,36
V45,36
C12,35
V56_isna,35
id_01,35
V91,35
V87,34
D9,34
V283,34
C3_clip_high,33
V38,33
V49,33
D12,32
DeviceType,32
id_17,31
card1_dist1_count,31
V20,30
id_14,29
V136,29
V78,29
D14,28
V187,28
card4,28
V19,27
V87_clip_high,27
C4,27
id_38,27
M9,27
V308,27
V320,27
V261,26
V266,26
card1_TransactionAmt_sum,26
V160,26
V75,26
V62_clip_high,26
V45_clip_high,25
V53,25
V224,25
V77,25
V55,25
R_emaildomain_first_seen_dt,25
V66,25
R_emaildomain_time_since_first,25
V5,24
V296,24
V280,24
card5_time_since_first,24
V11,24
V99,24
V61,24
V86,24
V156,24
V35,23
D3_isna,23
V217,22
V306,22
V291,22
id_09,21
V156_clip_high,21
V169,21
V271,20
M8,20
V67,20
V152,20
V332,19
V56,19
card5_first_seen_dt,19
V189,19
M7,19
V23,19
V52,19
id_04,18
P_emaildomain_dist1_count,18
os_android_ver_major,18
V83_clip_high,18
V309,17
V90,17
V316,17
V268,17
V206,17
V30,16
V133,16
card2_isna,16
V131,16
V267,16
V264,16
V277,16
V40,15
id_03,15
dist2_isna,15
V143,15
V12,15
D7,15
V36,14
card3_clip_high,14
C1_clip_low,14
V69,14
addr2_time_since_first,13
id_25,13
D2_isna,13
V128,13
V2,13
time_of_day,13
V207,13
V149_clip_high,13
V102,13
V293,12
V201,12
V44,12
M2,12
V47_clip_high,12
V37,12
V29,12
V243,12
V233,11
C11_clip_low,11
V159,11
D13_isna,11
V216,11
V108_clip_high,11
id_11,11
addr1_first_seen_dt,11
V149,11
V97,11
V335,11
card3,10
card1+addr1_dist2_count,10
V259,10
V10,10
id_24,10
V35_clip_high,10
V53_clip_high,10
V79_clip_high,10
V300,10
card2_first_seen_dt,10
V208,10
V124,10
V55_clip_high,10
V4,10
cumulative_spend_HistoryFeature_1h,10
id_32,10
V289,10
V139,10
card3_time_since_first,10
V96,10
V336,9
id_21,9
V221,9
V37_clip_high,9
dist1_isna,9
V44_clip_low,9
V24,9
V209,9
V164,9
C7,9
V7,9
V301,9
id_15,8
C12_clip_high,8
V137,8
V205,8
V276,8
V295,8
V26,8
P_emaildomain_dist2_count,8
id_36,8
V318,8
V170,8
V251,8
V279,8
V257,8
V219_isna,8
V184,8
V13_clip_high,8
V323,7
M1,7
V81,7
V60,7
V43,7
V319,7
V245,7
V3,7
V48_clip_high,7
V48,7
V35_isna,7
V25_clip_high,7
V166,7
V126,7
card1_dist2_count,7
V244,7
V272,7
V8_isna,7
V124_clip_high,7
V129,7
V271_clip_high,7
id_37,6
V46,6
V339,6
V337,6
P_emaildomain_time_since_first,6
V4_clip_high,6
V262,6
card5_clip_low,6
id_08,6
V283_isna,6
V215,6
V265,6
V274,6
V162,6
V29_clip_high,6
V58_clip_high,6
V81_clip_high,6
V77_isna,6
V248,5
V285_clip_high,5
V200,5
id_23,5
V51,5
V260,5
V270,5
V77_clip_high,5
V145,5
D5_isna,5
V230,5
V115,5
V211,5
V234,5
V229,5
V178,5
V290,4
V273,4
V210,4
addr2_isna,4
V255_clip_high,4
V197_clip_high,4
V214,4
V80_clip_high,4
V63,4
V135,4
V8,4
V222,4
V256,4
D7_isna,4
addr1_clip_low,4
V150,4
V183,4
V286,4
V72,4
devinfo_str_len,4
V204,4
V34,4
is_midnight_flag,4
V333,4
V123,4
V47,4
V292,4
V33,4
V85,4
V44_clip_high,4
V219,4
V203,4
V134,4
V40_clip_high,4
V202,4
V74,4
V282_isna,3
V18,3
V256_clip_high,3
V162_clip_high,3
V141_clip_high,3
V6_clip_high,3
V125,3
V253,3
V338,3
DeviceType_time_since_first,3
V303,3
V39_isna,3
V64,3
V321,3
C4_clip_high,3
V232,3
V147,3
V55_isna,3
V199,3
V25,3
V300_clip_high,3
V225,3
V177,3
V192,3
V309_clip_high,3
V181,3
V334,3
V228,3
C2_clip_high,3
TransactionAmt_clip_high,2
V255,2
V171,2
V130_clip_high,2
V86_clip_high,2
D5_clip_high,2
V198,2
V10_clip_high,2
V71,2
id_10,2
V6,2
V94,2
V7_clip_high,2
D15_isna,2
V212,2
V42,2
V144,2
V24_clip_high,2
V161,2
V132,2
V50,2
V59,2
C7_clip_high,2
V174,2
V182,2
V75_clip_high,2
V54_isna,2
V76_clip_high,2
V109,2
V135_clip_high,2
V56_clip_high,2
V175,2
C10_clip_high,2
V105,2
V146,2
V220,2
V218_isna,2
V93,2
V213,2
V20_clip_high,2
V223,2
V238,2
V246,2
V252,2
V263,2
V16,2
V278,2
V292_clip_high,2
card2_clip_high,2
V289_clip_high,2
V297,2
card3_clip_low,2
V12_clip_high,2
V298,2
id_12,2
V299,2
