feature,psi,drifted
card1_first_seen_dt,9.950884,True
R_emaildomain_first_seen_dt,9.209419,True
P_emaildomain_first_seen_dt,9.209419,True
card2_first_seen_dt,9.209419,True
id_30_first_seen_dt,9.209419,True
card3_first_seen_dt,9.209419,True
id_31_first_seen_dt,8.875061,True
card2_fraud_count,8.418055,True
addr1_fraud_count,8.390184,True
card5_fraud_count,8.305539,True
P_emaildomain_fraud_count,8.299327,True
id_31_fraud_count,8.29137,True
time_since_last_transaction_HistoryFeature_1day,8.28851,True
time_since_last_transaction_HistoryFeature_1h,8.28851,True
id_30_fraud_count,8.28794,True
card3_fraud_count,8.287901,True
R_emaildomain_fraud_count,8.285376,True
addr2_fraud_count,8.283261,True
DeviceType_fraud_count,8.283224,True
card5_time_since_first,8.283057,True
card3_time_since_first,8.283057,True
card2_time_since_first,8.283057,True
id_30_time_since_first,8.283057,True
addr1_time_since_first,8.283057,True
DeviceType_time_since_first,8.283057,True
addr2_time_since_first,8.283057,True
card1_time_since_first,8.283057,True
P_emaildomain_time_since_first,8.283057,True
id_31_time_since_first,8.283057,True
R_emaildomain_time_since_first,8.283057,True
TransactionDT_hour,8.259677,True
TransactionDT_dow,7.958295,True
card1_component_size,6.817918,True
time_of_day,6.689584,True
card1_fraud_count,5.260186,True
P_emaildomain_dist2_sum,3.233427,True
P_emaildomain_TransactionAmt_sum,3.092221,True
P_emaildomain_dist2_count,3.090948,True
P_emaildomain_dist1_count,3.090948,True
P_emaildomain_TransactionAmt_count,3.090948,True
P_emaildomain_dist1_sum,3.010953,True
tx_count_last_3600s_HistoryFeature_1h,2.671393,True
P_emaildomain_dist2_mean,1.617284,True
card1_unique_device,1.415509,True
P_emaildomain_TransactionAmt_mean,1.278449,True
card1_entity_diversity,1.073041,True
tx_count_last_86400s_HistoryFeature_1day,0.970618,False
card1_dist2_sum,0.951652,False
card1_dist2_count,0.914103,False
card1_dist1_count,0.914103,False
card1_TransactionAmt_count,0.914103,False
cumulative_spend_HistoryFeature_1h,0.864958,False
cumulative_spend_HistoryFeature_1day,0.864958,False
card1_TransactionAmt_sum,0.864958,False
P_emaildomain_dist1_mean,0.796955,False
card1_unique_email,0.568503,False
card1_dist1_sum,0.491941,False
card1_unique_addr1,0.352037,False
card1_dist2_mean,0.306837,False
card1+addr1_dist2_sum,0.281275,False
card1+addr1_TransactionAmt_sum,0.274624,False
card1+addr1_dist1_sum,0.268816,False
card1+addr1_dist1_count,0.259106,False
card1+addr1_dist2_count,0.259106,False
card1+addr1_TransactionAmt_count,0.259106,False
id_02,0.251582,False
card1+addr1_dist2_mean,0.241522,False
id_13,0.232706,False
id_31,0.187139,False
D11,0.18397,False
card1_dist1_mean,0.139216,False
M8,0.121866,False
card1+addr1_dist1_mean,0.116992,False
card1+addr1_TransactionAmt_mean,0.087463,False
card1_TransactionAmt_mean,0.075434,False
D15,0.065747,False
V11,0.064523,False
C9,0.05606,False
D10,0.045361,False
id_20,0.028053,False
M9,0.027679,False
card1_amount_ratio,0.025984,False
D4,0.025461,False
V99,0.025382,False
V130,0.025193,False
C12,0.024798,False
V96,0.024735,False
D1,0.0241,False
M3,0.023188,False
V127,0.022315,False
id_17,0.020989,False
ProductCD,0.020253,False
id_30,0.019633,False
V54,0.019529,False
C13,0.019067,False
D3,0.018984,False
os_android_ver_major,0.018802,False
id_19,0.017971,False
D2,0.017231,False
DeviceInfo,0.01715,False
id_05,0.016941,False
M2,0.016904,False
id_34,0.016728,False
C8,0.016575,False
C10,0.016455,False
card1_amount_delta,0.016309,False
V303,0.01557,False
V285,0.015422,False
V304,0.01542,False
V4,0.015388,False
V307,0.015297,False
D5,0.015288,False
V5,0.015126,False
V283,0.013566,False
R_emaildomain,0.013232,False
V36,0.013037,False
V310,0.012475,False
V282,0.011807,False
V13,0.011526,False
DeviceType,0.011349,False
C2,0.010974,False
devinfo_hash_bucket,0.010686,False
V100,0.010406,False
C4,0.010337,False
V131,0.009516,False
V128,0.009475,False
V97,0.009468,False
dist1,0.009033,False
V76,0.008838,False
V280,0.008747,False
C1,0.008677,False
card5,0.008375,False
id_33,0.007399,False
C6,0.0073,False
V308,0.00687,False
V312,0.006845,False
seq_emb_18,0.00682,False
V287,0.006634,False
id_32,0.006143,False
card2,0.006138,False
V91,0.006051,False
V90,0.00598,False
seq_emb_25,0.005933,False
V49,0.005434,False
C14,0.005381,False
seq_emb_23,0.005212,False
seq_emb_6,0.005191,False
M6,0.005051,False
V26,0.004955,False
seq_emb_11,0.0049,False
seq_emb_13,0.00472,False
id_14,0.004519,False
seq_emb_31,0.004406,False
seq_emb_4,0.004336,False
seq_emb_7,0.004221,False
id_37,0.004183,False
V126,0.004149,False
V95,0.004145,False
P_emaildomain,0.004048,False
seq_emb_0,0.004018,False
seq_emb_20,0.003993,False
M4,0.003992,False
TransactionAmt,0.003976,False
log_TransactionAmt,0.003976,False
card6,0.003959,False
dist2,0.00393,False
seq_emb_28,0.003873,False
addr1_target_enc,0.003841,False
seq_emb_17,0.003807,False
V70,0.003767,False
V30,0.003746,False
V313,0.003691,False
seq_anomaly_score,0.003624,False
V69,0.003587,False
