feature,importance
card1_target_enc,2050
card1,1529
card1_amount_ratio,1426
log_TransactionAmt,1351
addr1_target_enc,1115
card2,1082
addr1,1036
P_emaildomain_target_enc,896
C13,813
D15,711
card1_amount_delta,654
dist1,579
TransactionDT_hour,540
D1,528
D10,519
D4,490
card5,473
D2,472
D8,457
C1,454
C14,451
D11,398
TransactionDT_dow,367
C2,344
C6,343
C11,320
TransactionAmt,261
dist2,257
C9,251
D3,242
V310,234
C5,212
V313,186
D5,182
V307,174
D9,150
V314,140
C10,140
V130,132
C8,127
V315,126
D13,120
V317,118
is_integer_amount,110
V312,104
V285,104
V308,98
D14,97
card3,97
V165,91
D6,91
V54,85
V258,82
V127,82
V160,82
V281,82
V87,81
V82,80
card2_isna,79
V320,78
V62,78
V13,75
C4,75
V311,74
D14_isna,70
V282,70
V83,67
V291,67
V38,67
V20,67
C12,65
V70,63
V283,63
V76,62
V131,61
V78,60
D12,59
V67,57
V309,56
V19,56
V294,54
V49,53
time_of_day,52
V53,52
V136,51
V45,50
V306,49
V91,49
V261,49
V12,48
V61,48
V133,48
V5,47
V226,47
V30,46
V316,46
V86,45
V35,44
V266,43
V77,43
D7,42
V166,42
V36,41
C3_clip_high,41
V267,40
V187,39
V24,39
V102,39
V56,39
V271,38
V277,38
V52,38
V53_isna,38
V4,37
V296,37
V10,35
V224,34
V66,33
D3_isna,33
V268,33
dist2_isna,32
V159,32
V332,32
V99,32
V45_clip_high,32
V259,32
V139,32
V164,32
V152,32
V208,32
C7,31
V264,31
V96,31
D13_isna,31
V319,30
V234,30
V169,29
V206,29
V143,29
V129,29
V126,29
V128,29
V124,29
D15_isna,28
V11,28
V87_clip_high,28
V55,28
dist1_isna,28
V156,27
V189,27
V69,27
V90,27
D1_isna,26
V35_clip_high,26
V75,26
V203,25
V62_clip_high,25
V40,25
V318,24
V209,24
V44,23
TransactionDT_clip_low,23
V210,23
card3_clip_high,22
V232,22
V221,22
V245,22
V2,22
V207,21
V81,21
V156_clip_high,21
V150,21
D5_isna,21
V201,21
V333_isna,20
D9_isna,20
V23,20
V280,20
V29,20
V335,20
V149,19
V301,19
V149_clip_high,19
V135,19
V222,19
TransactionDT_clip_high,19
V292,19
V321,19
V289,18
V220,18
V217,18
V265,18
C1_clip_low,18
V29_clip_high,18
D2_isna,17
V303,17
V124_clip_high,17
V115,16
V233,16
V278,16
V270,16
V83_clip_high,16
V37,16
V248,16
V219_isna,15
D11_isna,15
V59,15
V7,15
V76_clip_high,15
V43,15
V26,15
card5_clip_high,15
card5_isna,15
V36_isna,15
V215,14
V274,14
V57_isna,14
V37_clip_high,14
V12_clip_high,14
V137,14
V132,14
V134,14
V141_isna,14
V48,14
V263,14
card3_isna,13
C11_clip_low,13
addr1_clip_low,13
D10_isna,13
V300,13
V287,13
addr2_isna,13
V260,13
V55_clip_high,13
V33,13
V276,13
V108_clip_high,12
V218,12
V47,12
V4_clip_high,12
V85,12
V25_clip_high,12
V243,12
