feature,importance
card1,1698
card2,1349
card1_amount_ratio,1319
addr1,1279
TransactionAmt,977
uid_amt_std,892
D15,743
C13,730
uid_amt_mean,699
D1,604
dist1,582
D10,555
card5,554
uid_amt_zscore,551
card1_amount_delta,532
uid_amt_min,532
uid_freq,522
uid_amt_max,509
TransactionDT_hour,489
D2,461
D4,458
C1,452
D8,426
C14,400
D11,381
uid_txn_count_86400s,378
C2,371
TransactionDT_dow,347
C6,345
C11,280
C9,245
V313,236
V310,230
dist2,202
D5,201
D3,193
C5,186
V315,179
log_TransactionAmt,164
V314,162
card3,154
V307,143
D9,128
V312,121
V285,119
V130,119
C10,119
V317,111
C8,110
D13,108
C12,103
V82,98
uid_txn_count,98
V308,97
is_integer_amount,97
V160,95
V54,92
V258,92
V281,88
V87,84
V165,83
V294,82
V62,81
V127,80
D14,80
V61,77
V20,75
V78,72
V38,69
V320,68
D6,67
D14_isna,66
C4,65
V13,65
V19,64
V311,64
V136,63
V76,63
V67,62
V283,61
V83,57
V291,56
V36,53
V5,53
V12,53
card2_isna,51
V49,51
V133,51
V53,50
V282,49
V75,48
V56,48
V30,47
V131,46
uid_txn_count_3600s,46
D12,45
V70,44
V296,44
V261,43
V267,42
V86,42
V55,42
V226,41
V164,41
V306,41
V76_clip_high,41
card3_clip_high,38
V53_isna,38
V66,37
V45_clip_high,37
V62_clip_high,37
time_of_day,37
V277,37
V91,37
V128,36
V35,36
D7,36
V224,36
V332,35
C3_clip_high,35
V266,35
V309,34
V90,34
V99,33
V289,33
V143,33
V166,33
V48,33
V187,33
V159,32
V45,32
V339_isna,32
V77,32
V139,32
V4,31
V234,31
D3_isna,31
V11,31
V26,30
V135,30
V169,30
V264,30
V152,30
V35_clip_high,29
V23,29
V96,29
V206,29
V129,28
V316,28
V259,28
V272,27
V321,27
V209,27
V24,27
addr2_isna,26
V87_clip_high,26
D15_isna,26
V189,25
dist2_isna,25
D13_isna,25
V156_clip_high,25
V203,25
V210,25
V29,24
V245,24
V270,24
V271,24
V149,24
V69,24
C7,23
dist1_isna,23
V83_clip_high,23
V102,23
V208,22
V207,22
V44,22
card5_isna,22
V318,22
V34,22
V124,22
V221,22
V126,22
V156,22
D1_isna,21
V300,21
V10,21
TransactionDT_clip_low,21
V2,21
TransactionDT_clip_high,21
V29_clip_high,21
V336,20
V12_clip_high,20
V268,20
V53_clip_high,20
V137,19
V274,19
V331,19
V132,19
V265,19
V263,18
V204,18
V201,18
V52,18
V40,18
V286,18
V149_clip_high,17
V75_clip_high,17
D4_isna,17
V124_clip_high,17
V74,17
V262,17
V335,17
V251,16
V280,16
V7,16
V248,16
V216,16
V37,16
V205,16
V51,16
V293,16
V115,15
V13_clip_high,15
V287,15
V232,15
card2_clip_high,15
V260,15
V177,14
V6,14
V319,14
V333,14
card5_clip_high,14
card5_clip_low,14
V276,14
V81,14
V288,14
D2_isna,14
V48_clip_high,14
V37_clip_high,14
V134,14
V79_clip_high,14
V222,14
V227,14
V220,14
V215,14
V85,13
V43,13
V292,13
addr2_clip_low,13
V200,13
V217,13
V145,13
V108_clip_high,13
V171,12
V326,12
V298,12
V140,12
V72,12
D11_isna,12
V218_isna,12
V59,12
D5_isna,12
V73,12
V167_isna,12
V150,12
V243,12
C1_clip_low,12
D9_isna,12
V338,11
V301,11
V324,11
V50,11
V303,11
V304,11
V94,11
C5_clip_high,11
V3_clip_high,11
D7_isna,11
V289_clip_high,11
V323,11
V283_clip_high,10
V213,10
card3_clip_low,10
V170,10
addr1_clip_low,10
V25,10
V339,10
V162,10
V50_clip_high,10
V54_clip_high,10
V4_clip_high,10
V212,9
V178,9
D6_isna,9
C12_clip_high,9
V269,9
V278,9
V86_clip_high,9
V202,9
card1_clip_high,9
V60,9
V42_clip_high,8
V97,8
V57_isna,8
V18,8
V147,8
V8,8
V141_isna,8
V151,8
V219,8
V183,8
V233,8
V3,8
D10_isna,8
V273,8
V184,8
V227_clip_high,8
V9,8
V161,8
V297,7
V211,7
V197_clip_high,7
V256_clip_high,7
V257,7
V275,7
V225,7
V146,7
V92,7
V10_clip_high,7
V77_isna,7
V77_clip_high,7
V74_clip_high,7
V46,7
V47,7
V337,7
V185,6
V323_isna,6
V295,6
V64,6
V100,6
V125,6
V36_clip_high,6
V282_clip_high,6
V63,6
V80_clip_high,6
V182,6
V231,6
V55_clip_high,6
V58_clip_high,6
V15,6
V35_isna,6
V181,6
V101,6
V214,6
V105,6
V176,5
V158,5
V322,5
V25_clip_high,5
V92_clip_high,5
V334,5
V46_clip_low,5
V109,5
V171_isna,5
addr1_isna,5
V44_clip_low,5
V172,5
V144,5
V71,5
V199,5
V224_clip_high,5
V229,5
V244,5
V301_clip_high,5
D8_isna,5
V139_clip_high,5
V282_isna,5
V97_isna,4
V218,4
V80,4
V157,4
V39,4
V116,4
V313_clip_high,4
V47_clip_high,4
V309_clip_high,4
