feature,psi,drifted
card1,8.285053,True
P_emaildomain_dist2_sum,3.550132,True
P_emaildomain_dist1_sum,3.30856,True
P_emaildomain_dist1_count,2.671834,True
P_emaildomain_TransactionAmt_count,2.671834,True
P_emaildomain_dist2_count,2.671834,True
P_emaildomain_TransactionAmt_sum,2.618514,True
P_emaildomain_dist1_mean,1.376235,True
P_emaildomain_dist2_mean,0.790992,True
card1_target_enc,0.273401,True
card1_dist2_mean,0.242043,False
card1_TransactionAmt_mean,0.199859,False
card5,0.154134,False
card1+addr1_dist2_mean,0.153511,False
addr1_target_enc,0.151218,False
card2,0.126099,False
card1+addr1_TransactionAmt_mean,0.090566,False
addr1,0.089765,False
card3,6.8e-05,False
