feature,importance
card1_target_enc,1171
card1,884
log_TransactionAmt,835
P_emaildomain_dist1_mean,793
P_emaildomain_dist2_mean,788
P_emaildomain_TransactionAmt_mean,738
addr1_target_enc,727
card2,675
card1_TransactionAmt_mean,672
card1_amount_ratio,665
addr1,632
C13,603
card1+addr1_TransactionAmt_mean,602
card1_dist2_mean,574
card1_dist1_mean,531
card1+addr1_dist2_mean,489
D15,485
C1,464
card1+addr1_dist1_mean,433
P_emaildomain_dist2_sum,429
card1_dist1_sum,427
card1+addr1_TransactionAmt_sum,398
D4,396
card1_amount_delta,391
card1_TransactionAmt_sum,379
D1,379
D10,376
card1+addr1_dist1_sum,350
D8,349
card1_dist2_sum,347
time_since_last_transaction,340
TransactionDT_hour,338
id_20,335
C14,330
P_emaildomain_dist1_sum,319
C2,315
dist1,314
D2,314
id_31,312
card1_TransactionAmt_count,306
card1+addr1_dist1_count,304
P_emaildomain_TransactionAmt_sum,303
card1+addr1_dist2_sum,292
C6,291
P_emaildomain_TransactionAmt_count,286
P_emaildomain,279
DeviceInfo,270
C11,261
card5,244
devinfo_hash_bucket,223
R_emaildomain,217
D3,212
id_19,210
C9,209
D11,201
V310,198
dist2,189
M4,177
V313,171
TransactionAmt,161
id_06,156
C5,155
id_02,150
D5,143
M6,140
id_13,133
id_05,132
tx_count_last_3600s,129
V315,127
V54,126
C10,116
ProductCD,113
V307,112
V317,108
card6,102
V314,100
V130,94
C8,94
id_14,87
V83,87
V282,86
V312,85
V294,82
id_17,81
id_01,80
V82,79
cumulative_spend,77
V62,74
D9,74
V259,73
V76,73
P_emaildomain_dist2_count,71
V13,70
V283,66
V70,65
card1_dist2_count,64
M3,63
V131,63
DeviceType,60
V52,60
V49,59
V127,58
V156,57
V261,56
C12,54
V308,54
card1+addr1_TransactionAmt_count,52
V91,51
V36,50
V19,48
card3,48
V20,47
V221,46
V67,46
M9,44
id_09,44
V81,43
C4,42
V126,41
V99,40
V306,40
V170,39
V30,38
V291,37
V61,36
V201,35
id_04,35
V245,35
id_32,35
V66,32
V128,32
id_38,30
M8,29
V96,29
V200,29
V26,29
V64,28
C7,28
V171,27
V139,26
V189,26
V40,25
V288,24
card1+addr1_dist2_count,23
V60,23
V279,22
M2,21
V149,20
V43,19
id_03,19
V262,19
V304,19
V222,19
V251,18
V140,18
V11,18
V280,17
V153,17
V155,16
V292,14
V256,14
P_emaildomain_dist1_count,13
V289,13
V97,13
card1_dist1_count,12
id_34,12
V157,12
V154,10
id_15,10
id_35,10
V188,9
id_37,9
V303,9
V85,9
V287,9
id_12,8
V158,7
V260,6
id_10,6
id_28,5
id_16,4
V95,4
V100,4
M1,3
V148,2
V255,2
V195,2
id_29,1
V194,1
V198,1
V250,1
V197,0
