feature,psi,drifted
P_emaildomain_dist2_sum,3.209549,True
P_emaildomain_TransactionAmt_sum,3.10617,True
P_emaildomain_dist1_count,3.090948,True
P_emaildomain_TransactionAmt_count,3.090948,True
P_emaildomain_dist2_count,3.090948,True
P_emaildomain_dist1_sum,3.008318,True
P_emaildomain_dist2_mean,2.214841,True
id_07,0.105724,False
id_19,0.047157,False
id_26,0.042199,False
id_08,0.040715,False
id_21,0.036429,False
id_25,0.02046,False
id_18,0.019397,False
id_24,0.008547,False
card1,0.002905,False
card1_target_enc,0.002481,False
