iteration,feature,vif,removed
0,id_26,10.4461,False
0,id_21,3.2574,False
0,id_08,2.7255,False
0,id_07,2.2838,False
0,card1,2.876,False
0,id_25,8.1603,False
0,P_emaildomain_dist2_sum,306.8774,False
0,P_emaildomain_dist2_count,inf,False
0,P_emaildomain_TransactionAmt_count,inf,False
0,P_emaildomain_dist1_count,inf,False
0,P_emaildomain_dist1_sum,697.5046,True
0,P_emaildomain_TransactionAmt_sum,388.343,False
0,P_emaildomain_dist2_mean,1.8633,False
0,card1_target_enc,1.1415,False
0,id_18,1.282,False
0,id_19,1.0786,False
0,id_24,6.3476,False
1,id_26,10.4461,False
1,id_21,3.2573,False
1,id_08,2.7255,False
1,id_07,2.2838,False
1,card1,1.6511,False
1,id_25,8.1602,False
1,P_emaildomain_dist2_sum,235.3609,False
1,P_emaildomain_dist2_count,inf,False
1,P_emaildomain_TransactionAmt_count,inf,False
1,P_emaildomain_dist1_count,inf,False
1,P_emaildomain_TransactionAmt_sum,368.6986,True
1,P_emaildomain_dist2_mean,1.8444,False
1,card1_target_enc,1.1354,False
1,id_18,1.2819,False
1,id_19,1.0778,False
1,id_24,6.3476,False
2,id_26,11.2214,False
2,id_21,3.9642,False
2,id_08,2.8845,False
2,id_07,2.4078,False
2,card1,1.6363,False
2,id_25,8.1754,False
2,P_emaildomain_dist2_sum,178.9366,True
2,P_emaildomain_dist2_count,inf,False
2,P_emaildomain_TransactionAmt_count,inf,False
2,P_emaildomain_dist1_count,inf,False
2,P_emaildomain_dist2_mean,1.8441,False
2,card1_target_enc,1.1324,False
2,id_18,1.2847,False
2,id_19,1.3179,False
2,id_24,8.3114,False
3,id_26,12.1368,True
3,id_21,4.2997,False
3,id_08,3.4275,False
3,id_07,2.6701,False
3,card1,1.5646,False
3,id_25,8.7049,False
3,P_emaildomain_dist2_count,inf,False
3,P_emaildomain_TransactionAmt_count,inf,False
3,P_emaildomain_dist1_count,inf,False
3,P_emaildomain_dist2_mean,1.0648,False
3,card1_target_enc,1.1329,False
3,id_18,1.2866,False
3,id_19,1.3145,False
3,id_24,9.1269,False
4,id_21,3.699,False
4,id_08,3.3755,False
4,id_07,2.6589,False
4,card1,1.5645,False
4,id_25,5.8014,False
4,P_emaildomain_dist2_count,inf,False
4,P_emaildomain_TransactionAmt_count,inf,False
4,P_emaildomain_dist1_count,inf,False
4,P_emaildomain_dist2_mean,1.0647,False
4,card1_target_enc,1.1328,False
4,id_18,1.2863,False
4,id_19,1.3144,False
4,id_24,8.5883,False
