feature,iv,useful
card1,0.041438,True
P_emaildomain_dist2_sum,0.012565,False
P_emaildomain_TransactionAmt_count,0.0099,False
P_emaildomain_dist1_count,0.0099,False
P_emaildomain_dist2_count,0.0099,False
P_emaildomain_dist1_sum,0.009714,False
P_emaildomain_TransactionAmt_sum,0.009693,False
P_emaildomain_dist2_mean,0.007094,False
P_emaildomain_dist1_mean,0.004991,False
card1+addr1_TransactionAmt_count,0.004647,False
card1+addr1_dist2_count,0.004647,False
cumulative_spend,0.004647,False
card1+addr1_dist1_count,0.004647,False
card1_TransactionAmt_sum,0.004647,False
card1+addr1_TransactionAmt_sum,0.004644,False
card2,0.004352,False
card5,0.003441,False
card1_dist2_count,0.002884,False
card1_dist1_count,0.002884,False
card1_TransactionAmt_count,0.002884,False
card1_dist1_mean,0.002724,False
card4,0.00268,False
card1+addr1_dist1_sum,0.002467,False
card1_dist2_sum,0.002413,False
card1+addr1_dist2_sum,0.002289,False
card1_dist2_mean,0.002261,False
card1_TransactionAmt_mean,0.001793,False
card1+addr1_dist1_mean,0.00151,False
card1_dist1_sum,0.00147,False
card1+addr1_TransactionAmt_mean,0.001329,False
addr1,0.001324,False
card1+addr1_dist2_mean,0.001191,False
V97,0.001116,False
D15,0.001064,False
card1_amount_ratio,0.001033,False
V96,0.000925,False
card1_amount_delta,0.000914,False
C13,0.000872,False
time_since_last_transaction,0.000841,False
V280,0.000794,False
C2,0.000709,False
V198,0.000698,False
V95,0.000687,False
D10,0.000658,False
V127,0.000587,False
C9,0.000578,False
V4,0.000559,False
tx_count_last_3600s,0.000557,False
V294,0.000557,False
V279,0.000551,False
id_30,0.000524,False
os_android_ver_major,0.000524,False
id_17,0.000514,False
P_emaildomain_TransactionAmt_mean,0.000489,False
V197,0.000488,False
C14,0.000449,False
DeviceInfo,0.000447,False
D4,0.000446,False
V256,0.000421,False
C1,0.000413,False
card6,0.000401,False
V195,0.000393,False
card3,0.000386,False
id_14,0.000363,False
V245,0.000363,False
R_emaildomain,0.000346,False
TransactionDT_hour,0.000338,False
V128,0.000337,False
TransactionDT_dow,0.000337,False
id_05,0.000336,False
D1,0.000333,False
V255,0.000333,False
V99,0.000332,False
V188,0.000325,False
TransactionAmt,0.000321,False
log_TransactionAmt,0.000321,False
P_emaildomain,0.000321,False
V100,0.00032,False
C5,0.000313,False
V251,0.000309,False
M4,0.000306,False
V52,0.000294,False
V189,0.000282,False
V13,0.000274,False
V156,0.000268,False
V130,0.000259,False
id_32,0.000248,False
id_20,0.000237,False
V317,0.000233,False
C6,0.000231,False
V283,0.000224,False
V250,0.000223,False
V76,0.000223,False
V126,0.000211,False
V282,0.000211,False
V312,0.000209,False
id_34,0.000208,False
V26,0.000204,False
dist1,0.000203,False
D11,0.000199,False
V90,0.000198,False
V19,0.000194,False
C11,0.000187,False
id_02,0.000183,False
V259,0.000174,False
V194,0.000171,False
V155,0.000142,False
D2,0.00013,False
V5,0.000127,False
V222,0.000124,False
V49,0.000121,False
V81,0.00012,False
V221,0.00012,False
V36,0.000114,False
V67,0.000113,False
V285,0.00011,False
V82,0.000109,False
D9,0.000108,False
V307,0.000108,False
DeviceType,0.000107,False
V261,9.6e-05,False
V91,9.3e-05,False
V313,8.9e-05,False
devinfo_hash_bucket,8.6e-05,False
id_33,8.3e-05,False
V154,7.9e-05,False
V292,7.8e-05,False
V20,7.2e-05,False
V310,6.9e-05,False
V83,6.3e-05,False
V289,5.9e-05,False
D5,5.8e-05,False
D3,5.6e-05,False
time_of_day,5.5e-05,False
V306,5.4e-05,False
V153,5.4e-05,False
V149,5.2e-05,False
V308,5.1e-05,False
V315,5e-05,False
V170,4.9e-05,False
V40,4.7e-05,False
V171,4.6e-05,False
id_19,4.6e-05,False
id_31,4.5e-05,False
V131,4.4e-05,False
V304,4.3e-05,False
V85,4.3e-05,False
V201,4e-05,False
V262,3.8e-05,False
M9,3.8e-05,False
M8,3.8e-05,False
V314,3.4e-05,False
ProductCD,3.2e-05,False
V70,3.1e-05,False
V54,2.6e-05,False
V287,2.5e-05,False
id_09,2.3e-05,False
D8,2.1e-05,False
C8,2.1e-05,False
V200,2e-05,False
M2,1.9e-05,False
M3,1.9e-05,False
M1,1.9e-05,False
V69,1.7e-05,False
C7,1.7e-05,False
V60,1.5e-05,False
V66,1.5e-05,False
id_10,1.5e-05,False
V303,1.4e-05,False
V62,1.4e-05,False
V43,1.4e-05,False
M6,1.4e-05,False
id_06,1.1e-05,False
id_13,1.1e-05,False
V11,1.1e-05,False
C12,1.1e-05,False
M5,1e-05,False
V158,9e-06,False
V64,8e-06,False
V61,8e-06,False
id_03,8e-06,False
V140,6e-06,False
V288,6e-06,False
id_38,5e-06,False
V148,5e-06,False
id_29,5e-06,False
id_28,5e-06,False
id_35,5e-06,False
id_37,5e-06,False
id_01,5e-06,False
id_16,4e-06,False
V157,4e-06,False
id_12,4e-06,False
id_15,4e-06,False
id_04,3e-06,False
V291,2e-06,False
V260,2e-06,False
C10,2e-06,False
dist2,1e-06,False
C4,1e-06,False
V30,1e-06,False
V139,1e-06,False
card5_clip_high,0.0,False
addr1_isna,0.0,False
addr1_clip_low,0.0,False
addr1_clip_high,0.0,False
addr2_isna,0.0,False
addr2_clip_low,0.0,False
addr2_clip_high,0.0,False
addr2,0.0,False
dist1_isna,0.0,False
dist1_clip_low,0.0,False
dist1_clip_high,0.0,False
dist2_isna,0.0,False
dist2_clip_low,0.0,False
dist2_clip_high,0.0,False
C1_clip_low,0.0,False
C1_clip_high,0.0,False
C2_clip_low,0.0,False
C2_clip_high,0.0,False
C3_clip_low,0.0,False
C3_clip_high,0.0,False
C3,0.0,False
C4_clip_low,0.0,False
C4_clip_high,0.0,False
C5_clip_low,0.0,False
C5_clip_high,0.0,False
C6_clip_low,0.0,False
C6_clip_high,0.0,False
C7_clip_low,0.0,False
C7_clip_high,0.0,False
C8_clip_low,0.0,False
C8_clip_high,0.0,False
C9_clip_low,0.0,False
C9_clip_high,0.0,False
C10_clip_low,0.0,False
C10_clip_high,0.0,False
C11_clip_low,0.0,False
C11_clip_high,0.0,False
C12_clip_low,0.0,False
C12_clip_high,0.0,False
C13_clip_low,0.0,False
C13_clip_high,0.0,False
C14_clip_low,0.0,False
C14_clip_high,0.0,False
D1_isna,0.0,False
D1_clip_low,0.0,False
D1_clip_high,0.0,False
D2_isna,0.0,False
D2_clip_low,0.0,False
D2_clip_high,0.0,False
D3_isna,0.0,False
D3_clip_low,0.0,False
D3_clip_high,0.0,False
D4_isna,0.0,False
D4_clip_low,0.0,False
D4_clip_high,0.0,False
D5_isna,0.0,False
D5_clip_low,0.0,False
D5_clip_high,0.0,False
D6_isna,0.0,False
D6_clip_low,0.0,False
D6_clip_high,0.0,False
D6,0.0,False
D7_isna,0.0,False
D7_clip_low,0.0,False
D7_clip_high,0.0,False
D7,0.0,False
D8_isna,0.0,False
D8_clip_low,0.0,False
D8_clip_high,0.0,False
D9_isna,0.0,False
D9_clip_low,0.0,False
D9_clip_high,0.0,False
D10_isna,0.0,False
D10_clip_low,0.0,False
D10_clip_high,0.0,False
D11_isna,0.0,False
D11_clip_low,0.0,False
D11_clip_high,0.0,False
D12_isna,0.0,False
D12_clip_low,0.0,False
D12_clip_high,0.0,False
D12,0.0,False
D13_isna,0.0,False
D13_clip_low,0.0,False
D13_clip_high,0.0,False
D13,0.0,False
D14_isna,0.0,False
D14_clip_low,0.0,False
D14_clip_high,0.0,False
D14,0.0,False
D15_isna,0.0,False
D15_clip_low,0.0,False
D15_clip_high,0.0,False
V1_isna,0.0,False
V1_clip_low,0.0,False
V1_clip_high,0.0,False
V1,0.0,False
V2_isna,0.0,False
V2_clip_low,0.0,False
V2_clip_high,0.0,False
V2,0.0,False
V3_isna,0.0,False
V3_clip_low,0.0,False
V3_clip_high,0.0,False
V3,0.0,False
V4_isna,0.0,False
V4_clip_low,0.0,False
V4_clip_high,0.0,False
V5_isna,0.0,False
V5_clip_low,0.0,False
V5_clip_high,0.0,False
V6_isna,0.0,False
V6_clip_low,0.0,False
V6_clip_high,0.0,False
V6,0.0,False
V7_isna,0.0,False
V7_clip_low,0.0,False
V7_clip_high,0.0,False
V7,0.0,False
V8_isna,0.0,False
V8_clip_low,0.0,False
V8_clip_high,0.0,False
V8,0.0,False
V9_isna,0.0,False
V9_clip_low,0.0,False
V9_clip_high,0.0,False
V9,0.0,False
V10_isna,0.0,False
V10_clip_low,0.0,False
V10_clip_high,0.0,False
V10,0.0,False
V11_isna,0.0,False
V11_clip_low,0.0,False
V11_clip_high,0.0,False
V12_isna,0.0,False
V12_clip_low,0.0,False
V12_clip_high,0.0,False
V12,0.0,False
V13_isna,0.0,False
V13_clip_low,0.0,False
V13_clip_high,0.0,False
V14_isna,0.0,False
V14_clip_low,0.0,False
V14_clip_high,0.0,False
V14,0.0,False
V15_isna,0.0,False
V15_clip_low,0.0,False
V15_clip_high,0.0,False
V15,0.0,False
V16_isna,0.0,False
V16_clip_low,0.0,False
V16_clip_high,0.0,False
V16,0.0,False
V17_isna,0.0,False
V17_clip_low,0.0,False
V17_clip_high,0.0,False
V17,0.0,False
V18_isna,0.0,False
V18_clip_low,0.0,False
V18_clip_high,0.0,False
V18,0.0,False
V19_isna,0.0,False
V19_clip_low,0.0,False
V19_clip_high,0.0,False
V20_isna,0.0,False
V20_clip_low,0.0,False
V20_clip_high,0.0,False
V21_isna,0.0,False
V21_clip_low,0.0,False
V21_clip_high,0.0,False
V21,0.0,False
V22_isna,0.0,False
V22_clip_low,0.0,False
V22_clip_high,0.0,False
V22,0.0,False
V23_isna,0.0,False
V23_clip_low,0.0,False
V23_clip_high,0.0,False
V23,0.0,False
V24_isna,0.0,False
V24_clip_low,0.0,False
V24_clip_high,0.0,False
V24,0.0,False
V25_isna,0.0,False
V25_clip_low,0.0,False
V25_clip_high,0.0,False
V25,0.0,False
V26_isna,0.0,False
V26_clip_low,0.0,False
V26_clip_high,0.0,False
V27_isna,0.0,False
V27_clip_low,0.0,False
V27_clip_high,0.0,False
V27,0.0,False
V28_isna,0.0,False
V28_clip_low,0.0,False
V28_clip_high,0.0,False
V28,0.0,False
V29_isna,0.0,False
V29_clip_low,0.0,False
V29_clip_high,0.0,False
V29,0.0,False
V30_isna,0.0,False
V30_clip_low,0.0,False
V30_clip_high,0.0,False
V31_isna,0.0,False
V31_clip_low,0.0,False
V31_clip_high,0.0,False
V31,0.0,False
V32_isna,0.0,False
V32_clip_low,0.0,False
V32_clip_high,0.0,False
V32,0.0,False
V33_isna,0.0,False
V33_clip_low,0.0,False
V33_clip_high,0.0,False
V33,0.0,False
V34_isna,0.0,False
V34_clip_low,0.0,False
V34_clip_high,0.0,False
V34,0.0,False
V35_isna,0.0,False
V35_clip_low,0.0,False
V35_clip_high,0.0,False
V35,0.0,False
V36_isna,0.0,False
V36_clip_low,0.0,False
V36_clip_high,0.0,False
V37_isna,0.0,False
V37_clip_low,0.0,False
V37_clip_high,0.0,False
V37,0.0,False
V38_isna,0.0,False
V38_clip_low,0.0,False
V38_clip_high,0.0,False
V38,0.0,False
V39_isna,0.0,False
V39_clip_low,0.0,False
V39_clip_high,0.0,False
V39,0.0,False
V40_isna,0.0,False
V40_clip_low,0.0,False
V40_clip_high,0.0,False
V41_isna,0.0,False
V41_clip_low,0.0,False
V41_clip_high,0.0,False
V41,0.0,False
V42_isna,0.0,False
V42_clip_low,0.0,False
V42_clip_high,0.0,False
V42,0.0,False
V43_isna,0.0,False
V43_clip_low,0.0,False
V43_clip_high,0.0,False
V44_isna,0.0,False
V44_clip_low,0.0,False
V44_clip_high,0.0,False
V44,0.0,False
V45_isna,0.0,False
V45_clip_low,0.0,False
V45_clip_high,0.0,False
V45,0.0,False
V46_isna,0.0,False
V46_clip_low,0.0,False
V46_clip_high,0.0,False
V46,0.0,False
V47_isna,0.0,False
V47_clip_low,0.0,False
V47_clip_high,0.0,False
V47,0.0,False
V48_isna,0.0,False
V48_clip_low,0.0,False
V48_clip_high,0.0,False
V48,0.0,False
V49_isna,0.0,False
V49_clip_low,0.0,False
V49_clip_high,0.0,False
V50_isna,0.0,False
V50_clip_low,0.0,False
V50_clip_high,0.0,False
V50,0.0,False
V51_isna,0.0,False
V51_clip_low,0.0,False
V51_clip_high,0.0,False
V51,0.0,False
V52_isna,0.0,False
V52_clip_low,0.0,False
V52_clip_high,0.0,False
V53_isna,0.0,False
V53_clip_low,0.0,False
V53_clip_high,0.0,False
V53,0.0,False
V54_isna,0.0,False
V54_clip_low,0.0,False
V54_clip_high,0.0,False
V55_isna,0.0,False
V55_clip_low,0.0,False
V55_clip_high,0.0,False
V55,0.0,False
V56_isna,0.0,False
V56_clip_low,0.0,False
V56_clip_high,0.0,False
V56,0.0,False
V57_isna,0.0,False
V57_clip_low,0.0,False
V57_clip_high,0.0,False
V57,0.0,False
V58_isna,0.0,False
V58_clip_low,0.0,False
V58_clip_high,0.0,False
V58,0.0,False
V59_isna,0.0,False
V59_clip_low,0.0,False
V59_clip_high,0.0,False
V59,0.0,False
V60_isna,0.0,False
V60_clip_low,0.0,False
V60_clip_high,0.0,False
V61_isna,0.0,False
V61_clip_low,0.0,False
V61_clip_high,0.0,False
V62_isna,0.0,False
V62_clip_low,0.0,False
V62_clip_high,0.0,False
V63_isna,0.0,False
V63_clip_low,0.0,False
V63_clip_high,0.0,False
V63,0.0,False
V64_isna,0.0,False
V64_clip_low,0.0,False
V64_clip_high,0.0,False
V65_isna,0.0,False
V65_clip_low,0.0,False
V65_clip_high,0.0,False
V65,0.0,False
V66_isna,0.0,False
V66_clip_low,0.0,False
V66_clip_high,0.0,False
V67_isna,0.0,False
V67_clip_low,0.0,False
V67_clip_high,0.0,False
V68_isna,0.0,False
V68_clip_low,0.0,False
V68_clip_high,0.0,False
V68,0.0,False
V69_isna,0.0,False
V69_clip_low,0.0,False
V69_clip_high,0.0,False
V70_isna,0.0,False
V70_clip_low,0.0,False
V70_clip_high,0.0,False
V71_isna,0.0,False
V71_clip_low,0.0,False
V71_clip_high,0.0,False
V71,0.0,False
V72_isna,0.0,False
V72_clip_low,0.0,False
V72_clip_high,0.0,False
V72,0.0,False
V73_isna,0.0,False
V73_clip_low,0.0,False
V73_clip_high,0.0,False
V73,0.0,False
V74_isna,0.0,False
V74_clip_low,0.0,False
V74_clip_high,0.0,False
V74,0.0,False
V75_isna,0.0,False
V75_clip_low,0.0,False
V75_clip_high,0.0,False
V75,0.0,False
V76_isna,0.0,False
V76_clip_low,0.0,False
V76_clip_high,0.0,False
V77_isna,0.0,False
V77_clip_low,0.0,False
V77_clip_high,0.0,False
V77,0.0,False
V78_isna,0.0,False
V78_clip_low,0.0,False
V78_clip_high,0.0,False
V78,0.0,False
V79_isna,0.0,False
V79_clip_low,0.0,False
V79_clip_high,0.0,False
V79,0.0,False
V80_isna,0.0,False
V80_clip_low,0.0,False
V80_clip_high,0.0,False
V80,0.0,False
V81_isna,0.0,False
V81_clip_low,0.0,False
V81_clip_high,0.0,False
V82_isna,0.0,False
V82_clip_low,0.0,False
V82_clip_high,0.0,False
V83_isna,0.0,False
V83_clip_low,0.0,False
V83_clip_high,0.0,False
V84_isna,0.0,False
V84_clip_low,0.0,False
V84_clip_high,0.0,False
V84,0.0,False
V85_isna,0.0,False
V85_clip_low,0.0,False
V85_clip_high,0.0,False
V86_isna,0.0,False
V86_clip_low,0.0,False
V86_clip_high,0.0,False
V86,0.0,False
V87_isna,0.0,False
V87_clip_low,0.0,False
V87_clip_high,0.0,False
V87,0.0,False
V88_isna,0.0,False
V88_clip_low,0.0,False
V88_clip_high,0.0,False
V88,0.0,False
V89_isna,0.0,False
V89_clip_low,0.0,False
V89_clip_high,0.0,False
V89,0.0,False
V90_isna,0.0,False
V90_clip_low,0.0,False
V90_clip_high,0.0,False
V91_isna,0.0,False
V91_clip_low,0.0,False
V91_clip_high,0.0,False
V92_isna,0.0,False
V92_clip_low,0.0,False
V92_clip_high,0.0,False
V92,0.0,False
V93_isna,0.0,False
V93_clip_low,0.0,False
V93_clip_high,0.0,False
V93,0.0,False
V94_isna,0.0,False
V94_clip_low,0.0,False
V94_clip_high,0.0,False
V94,0.0,False
V95_isna,0.0,False
V95_clip_low,0.0,False
V95_clip_high,0.0,False
V96_isna,0.0,False
V96_clip_low,0.0,False
V96_clip_high,0.0,False
V97_isna,0.0,False
V97_clip_low,0.0,False
V97_clip_high,0.0,False
V98_isna,0.0,False
V98_clip_low,0.0,False
V98_clip_high,0.0,False
V98,0.0,False
V99_isna,0.0,False
