feature,importance
card1_target_enc,1293
card1,904
log_TransactionAmt,836
P_emaildomain_dist1_mean,772
P_emaildomain_TransactionAmt_mean,756
addr1_target_enc,732
P_emaildomain_dist2_mean,727
card1_amount_ratio,711
addr1,675
card1_TransactionAmt_mean,663
C13,662
card2,586
card1_dist1_mean,575
card1_dist2_mean,574
card1+addr1_dist2_mean,513
D15,511
card1+addr1_TransactionAmt_mean,500
P_emaildomain_dist2_sum,463
C1,462
D1,457
card1+addr1_dist1_mean,452
card1_dist1_sum,431
D10,415
D4,408
card1+addr1_dist1_sum,407
C14,407
card1_amount_delta,403
card1_TransactionAmt_sum,370
card1+addr1_TransactionAmt_sum,363
card1_TransactionAmt_count,360
P_emaildomain_dist1_sum,357
dist1,350
time_since_last_transaction,345
D2,345
P_emaildomain_TransactionAmt_sum,331
card1_dist2_sum,328
TransactionDT_hour,323
D8,309
P_emaildomain_TransactionAmt_count,308
C2,298
card1+addr1_dist2_sum,284
id_31,280
P_emaildomain,268
C6,267
card1+addr1_dist1_count,259
C11,249
id_20,236
D11,231
R_emaildomain,229
D3,223
C9,222
card5,218
DeviceInfo,208
id_19,186
V310,183
devinfo_hash_bucket,180
V313,164
dist2,164
M4,162
TransactionAmt,156
D5,155
M6,150
V307,149
C5,148
V317,137
tx_count_last_3600s,137
id_06,133
ProductCD,129
id_02,127
V315,115
id_05,105
id_13,105
V54,105
card6,102
V83,102
C10,101
V314,100
id_14,99
D9,93
id_01,87
C8,87
V312,81
V130,80
V308,80
V82,76
cumulative_spend,74
V127,73
V201,72
M3,70
V76,68
P_emaildomain_dist2_count,66
V70,66
V49,64
V294,63
V13,62
V61,62
C4,60
V283,60
V62,59
id_17,59
V282,58
card1_dist2_count,56
C12,56
V156,56
V261,55
V19,54
V99,53
V91,48
V36,48
V291,47
V259,46
V20,46
V30,44
id_32,44
DeviceType,43
card3,43
V170,43
V11,42
V221,41
V126,39
V96,38
V149,38
V306,37
card1+addr1_TransactionAmt_count,37
M9,37
V128,36
V81,34
V189,34
V67,33
V26,33
V245,33
id_38,32
V131,31
M8,31
id_04,30
V40,28
M2,27
V66,25
id_09,24
V52,24
C7,24
V200,23
V97,23
V60,22
V64,22
V292,22
id_34,21
V139,20
V288,19
V279,19
id_03,19
V280,17
card1_dist1_count,17
V251,17
V171,17
V155,16
id_15,16
V262,16
card1+addr1_dist2_count,15
V43,14
V304,14
V256,12
V303,11
P_emaildomain_dist1_count,11
V289,10
V154,10
V140,10
V158,10
id_37,10
V222,10
V287,9
V153,8
V85,8
V157,8
V260,8
id_12,6
V100,6
V198,5
V95,5
V148,5
id_28,4
id_35,4
V188,4
id_10,3
M1,3
id_16,3
id_29,2
V194,2
V197,2
V195,1
V255,1
V250,0
