feature,psi,drifted
TransactionDT_hour,8.259677,True
time_since_last_transaction,7.111311,True
P_emaildomain_dist2_sum,3.673543,True
P_emaildomain_dist1_sum,2.905037,True
tx_count_last_3600s,2.870194,True
P_emaildomain_TransactionAmt_sum,2.656591,True
P_emaildomain_dist2_mean,2.651326,True
P_emaildomain_TransactionAmt_count,2.629522,True
P_emaildomain_dist1_count,2.629522,True
P_emaildomain_dist2_count,2.629522,True
P_emaildomain_TransactionAmt_mean,2.376675,True
P_emaildomain_dist1_mean,1.187218,True
card1+addr1_TransactionAmt_sum,0.219095,False
id_31,0.207539,False
card1+addr1_dist1_sum,0.203737,False
card1+addr1_TransactionAmt_count,0.202183,False
card1+addr1_dist2_count,0.202183,False
card1+addr1_dist1_count,0.202183,False
card1_TransactionAmt_count,0.199149,False
card1_dist1_count,0.199149,False
card1_dist2_count,0.199149,False
card1_dist2_sum,0.18967,False
D11,0.18397,False
card1+addr1_dist2_sum,0.183023,False
card1_dist1_sum,0.178105,False
cumulative_spend,0.157814,False
card1_TransactionAmt_sum,0.157814,False
M8,0.121866,False
card1+addr1_dist1_mean,0.077441,False
D15,0.065747,False
V11,0.064523,False
id_13,0.06013,False
card1+addr1_TransactionAmt_mean,0.060104,False
C9,0.05606,False
card1_dist2_mean,0.05503,False
card1+addr1_dist2_mean,0.050865,False
card1_TransactionAmt_mean,0.050762,False
card1_dist1_mean,0.046205,False
D10,0.045361,False
id_20,0.027789,False
M9,0.027679,False
D4,0.025461,False
V99,0.025382,False
V130,0.025193,False
C12,0.024798,False
V96,0.024735,False
D1,0.0241,False
M3,0.023188,False
V127,0.022315,False
id_17,0.020915,False
ProductCD,0.020253,False
V54,0.019529,False
C13,0.019067,False
D3,0.018984,False
id_19,0.017848,False
D2,0.017231,False
id_05,0.016959,False
M2,0.016904,False
id_34,0.016728,False
C8,0.016575,False
C10,0.016455,False
devinfo_hash_bucket,0.015831,False
DeviceInfo,0.015614,False
V303,0.01557,False
V304,0.01542,False
V307,0.015297,False
D5,0.015288,False
V283,0.013566,False
R_emaildomain,0.013232,False
V36,0.013037,False
V310,0.012475,False
card1_amount_ratio,0.012302,False
V282,0.011807,False
id_02,0.011641,False
V13,0.011526,False
DeviceType,0.011349,False
C2,0.010974,False
V100,0.010406,False
C4,0.010337,False
V131,0.009516,False
V128,0.009475,False
V97,0.009468,False
dist1,0.009033,False
V76,0.008838,False
V280,0.008747,False
C1,0.008677,False
card5,0.008375,False
C6,0.0073,False
V308,0.00687,False
V312,0.006845,False
V287,0.006634,False
id_32,0.006143,False
card2,0.006138,False
V91,0.006051,False
V49,0.005434,False
C14,0.005381,False
M6,0.005051,False
V26,0.004955,False
id_14,0.004519,False
id_37,0.004183,False
V126,0.004149,False
V95,0.004145,False
P_emaildomain,0.004048,False
M4,0.003992,False
log_TransactionAmt,0.003976,False
TransactionAmt,0.003976,False
card6,0.003959,False
addr1_target_enc,0.003932,False
dist2,0.00393,False
V70,0.003767,False
V30,0.003746,False
V313,0.003691,False
id_28,0.003584,False
V279,0.003552,False
V67,0.003536,False
V306,0.003464,False
V314,0.00335,False
id_29,0.002927,False
card1,0.002905,False
id_38,0.002901,False
addr1,0.002805,False
V66,0.002752,False
V288,0.002648,False
C11,0.002606,False
C5,0.002567,False
card1_target_enc,0.002481,False
V289,0.002461,False
id_12,0.002391,False
V315,0.002273,False
V317,0.002257,False
V294,0.002173,False
C7,0.002156,False
id_15,0.001724,False
id_06,0.001582,False
id_35,0.001482,False
V245,0.001368,False
V259,0.001368,False
V221,0.001368,False
V250,0.001368,False
V255,0.001368,False
V256,0.001349,False
V251,0.001349,False
V222,0.001349,False
id_16,0.001226,False
V83,0.001153,False
V40,0.001065,False
V43,0.001031,False
V82,0.000935,False
V148,0.00078,False
V139,0.00078,False
V153,0.00078,False
V155,0.00078,False
V157,0.00078,False
V156,0.000779,False
V140,0.000779,False
V158,0.000779,False
V154,0.000779,False
V149,0.000779,False
V262,0.000756,False
V261,0.000753,False
V260,0.000718,False
card1_amount_delta,0.000448,False
V81,0.000443,False
V85,0.000436,False
id_01,0.000434,False
V20,0.000426,False
V19,0.000395,False
V292,0.000349,False
V62,0.000313,False
id_10,0.000258,False
V61,0.000257,False
D9,0.000241,False
V291,0.000178,False
id_09,0.000145,False
card3,0.000137,False
id_03,0.000136,False
D8,0.000112,False
id_04,8.4e-05,False
V64,7e-05,False
V189,6.4e-05,False
V201,6.4e-05,False
V171,6.4e-05,False
V198,6.4e-05,False
V195,6.4e-05,False
V170,6.3e-05,False
V194,6.3e-05,False
V200,6.3e-05,False
V188,6.3e-05,False
V197,6.3e-05,False
V60,5.8e-05,False
V52,2.9e-05,False
M1,3e-06,False
