feature,mean_abs_shap
card1_target_enc,0.07857843275575173
C13,0.03722683592347829
C14,0.0281607385404353
C1,0.02240835579479921
card1_amount_ratio,0.02029428446824904
C11,0.01929516687431796
P_emaildomain_dist1_sum,0.017200256163298625
log_TransactionAmt,0.01689639437398341
C5,0.01316256158744652
V70,0.01309047895559488
D1,0.012250170390615815
P_emaildomain_dist2_mean,0.011555093040300349
D3,0.010374470963913812
C2,0.010127809705315351
P_emaildomain_dist1_mean,0.009952877906671152
P_emaildomain_TransactionAmt_mean,0.009698635825216765
D4,0.009586913518500533
time_since_last_transaction,0.009497574184614853
M6,0.008431865541320046
D15,0.008204531774487484
