feature,importance
card1_target_enc,839
log_TransactionAmt,635
C13,573
addr1_target_enc,500
addr1_fraud_count,478
P_emaildomain_TransactionAmt_mean,457
P_emaildomain_dist1_mean,452
D15,434
card1_fraud_count,432
addr1,417
P_emaildomain_dist2_mean,417
C1,414
card1_amount_ratio,382
card5_fraud_count,369
D1,369
card2_fraud_count,367
C14,336
card1,335
card1+addr1_dist1_mean,335
D4,322
seq_anomaly_score,320
card1_TransactionAmt_mean,315
card1_dist2_mean,297
D10,291
card1+addr1_TransactionAmt_mean,289
card1+addr1_dist2_mean,281
D2,262
card1_dist1_mean,260
tx_count_last_86400s_HistoryFeature_1day,260
R_emaildomain_fraud_count,256
dist1,254
P_emaildomain_fraud_count,251
card1_amount_delta,246
card1+addr1_dist1_sum,243
card2,242
TransactionDT_hour,240
P_emaildomain_target_enc,238
id_31_fraud_count,234
D8,234
C2,232
time_since_last_transaction_HistoryFeature_1h,230
seq_emb_18,229
C6,228
D3,227
card1_dist2_sum,224
card1_entity_diversity,223
card3_fraud_count,219
card1+addr1_TransactionAmt_sum,218
id_31_time_since_first,215
card1_dist1_sum,200
card1_TransactionAmt_count,197
C11,197
seq_emb_2,197
card1+addr1_dist2_sum,195
card1+addr1_TransactionAmt_count,195
seq_emb_12,190
seq_emb_3,190
seq_emb_15,189
seq_emb_29,188
seq_emb_25,186
seq_emb_4,184
seq_emb_9,183
seq_emb_21,183
card1_unique_addr1,182
seq_emb_27,181
P_emaildomain_dist2_sum,181
seq_emb_5,181
seq_emb_7,180
D11,179
id_20,178
seq_emb_28,177
seq_emb_11,177
seq_emb_1,175
seq_emb_8,174
seq_emb_14,173
seq_emb_31,169
seq_emb_6,168
id_31,167
seq_emb_22,167
seq_emb_30,165
seq_emb_13,161
DeviceType_fraud_count,159
card1_unique_device,157
seq_emb_17,155
P_emaildomain_dist1_sum,155
id_30_fraud_count,153
seq_emb_26,152
seq_emb_19,151
cumulative_spend_HistoryFeature_1day,150
seq_emb_16,146
M4,145
seq_emb_23,143
seq_emb_10,143
C9,142
R_emaildomain,142
P_emaildomain_TransactionAmt_sum,141
seq_emb_20,140
V307,139
V310,139
DeviceInfo,138
seq_emb_0,137
C5,135
P_emaildomain,134
card1_unique_email,133
devinfo_hash_bucket,132
seq_emb_24,131
id_19,129
P_emaildomain_TransactionAmt_count,119
D5,116
V313,115
id_02,114
V317,114
M6,106
id_06,104
dist2,103
C8,100
id_30_time_since_first,94
card1_time_since_first,93
V83,90
ProductCD,89
TransactionAmt,88
C10,87
V54,78
card1_first_seen_dt,77
addr1_time_since_first,76
tx_count_last_3600s_HistoryFeature_1h,73
card5,71
V315,71
V82,71
id_05,68
V314,65
time_since_last_transaction_HistoryFeature_1day,64
card1_component_size,62
V70,61
id_13,60
C4,58
V283,56
V201,55
D9,54
V282,54
V130,53
V312,52
addr2_fraud_count,52
V127,52
V308,51
V259,50
id_01,49
V156,49
V49,49
V306,48
M3,48
V294,46
V76,46
V261,45
V62,44
M8,43
DeviceType,42
V13,42
V61,42
V19,42
C12,40
card2_time_since_first,39
V291,39
V221,39
id_14,38
V170,38
card6,37
id_31_first_seen_dt,35
V99,35
V280,34
card1_dist1_count,33
V131,33
V96,32
V30,32
V126,32
V11,32
id_17,32
V40,32
V67,31
id_04,31
card1_TransactionAmt_sum,30
V189,30
V245,30
V52,30
V149,29
card1+addr1_dist1_count,29
V20,29
V128,28
V81,27
C7,26
V36,26
R_emaildomain_time_since_first,26
V91,25
V66,24
V97,23
card5_time_since_first,22
V171,22
M2,22
V222,22
id_32,21
id_09,21
P_emaildomain_dist1_count,20
id_03,19
card3,18
V262,17
id_38,17
V64,17
V200,17
V26,16
V289,15
V292,15
V60,14
M9,14
V155,14
V251,14
addr2_time_since_first,14
V279,13
V157,11
id_15,11
M1,11
V256,10
id_37,10
V288,10
id_34,10
V139,10
V154,10
card3_time_since_first,8
cumulative_spend_HistoryFeature_1h,8
V287,7
V158,7
V85,7
V153,7
V43,7
id_16,6
id_35,6
card1+addr1_dist2_count,6
V304,4
P_emaildomain_dist2_count,4
id_29,4
V198,4
V95,4
V188,3
V148,3
card1_dist2_count,3
V197,2
P_emaildomain_time_since_first,2
V303,2
V100,2
V194,2
V260,2
id_10,1
V250,1
V140,1
DeviceType_time_since_first,1
id_28,1
V255,0
V195,0
id_12,0
