[2026-08-13 17:34:35,861][ModelSerializer-2042717786464][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260813_172554_809c0e ...
[2026-08-13 17:34:36,686][ModelSerializer-2042717786464][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-13 17:34:36,913][ModelSerializer-2042717786464][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-13 17:34:37,076][ModelSerializer-2042717786464][INFO] -     Saved 6 stateful components to artifacts\run_20260813_172554_809c0e\online_artifacts\stateful_components
[2026-08-13 17:34:37,132][ModelSerializer-2042717786464][INFO] -     Saved model.joblib
[2026-08-13 17:34:37,134][ModelSerializer-2042717786464][INFO] -     Saved risk_engine.joblib
[2026-08-13 17:34:37,139][ModelSerializer-2042717786464][INFO] -     Saved threshold_optimizer.joblib
[2026-08-13 17:34:37,141][ModelSerializer-2042717786464][INFO] -     Saved metadata.json
[2026-08-13 17:34:37,142][ModelSerializer-2042717786464][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-13 17:35:53,493][ModelSerializer-2042717786464][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260813_172554_809c0e ...
[2026-08-13 17:35:54,483][ModelSerializer-2042717786464][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-13 17:35:54,715][ModelSerializer-2042717786464][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-13 17:35:54,902][ModelSerializer-2042717786464][INFO] -     Saved 6 stateful components to artifacts\run_20260813_172554_809c0e\online_artifacts\stateful_components
[2026-08-13 17:35:54,970][ModelSerializer-2042717786464][INFO] -     Saved model.joblib
[2026-08-13 17:35:54,974][ModelSerializer-2042717786464][INFO] -     Saved risk_engine.joblib
[2026-08-13 17:35:54,976][ModelSerializer-2042717786464][INFO] -     Saved threshold_optimizer.joblib
[2026-08-13 17:35:54,980][ModelSerializer-2042717786464][INFO] -     Saved metadata.json
[2026-08-13 17:35:54,980][ModelSerializer-2042717786464][INFO] - [Serialize] Done. Online artifacts ready for inference.
