[2026-08-20 20:47:58,171][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 20:47:58,546][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 20:47:59,356][ModelSerializer-1660164347216][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_203836_cc5efb ...
[2026-08-20 20:48:06,417][ModelSerializer-1660164347216][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 20:48:08,169][ModelSerializer-1660164347216][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 20:48:11,422][ModelSerializer-1660164347216][INFO] -     Saved 8 stateful components to artifacts\run_20260820_203836_cc5efb\online_artifacts\stateful_components
[2026-08-20 20:48:11,426][ModelSerializer-1660164347216][INFO] -     Saved model.joblib
[2026-08-20 20:48:11,428][ModelSerializer-1660164347216][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 20:48:11,434][ModelSerializer-1660164347216][INFO] -     Saved shap_explainer.joblib
[2026-08-20 20:48:11,446][ModelSerializer-1660164347216][INFO] -     Saved metadata.json
[2026-08-20 20:48:11,447][ModelSerializer-1660164347216][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-20 20:49:31,189][ModelSerializer-1660164347216][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_203836_cc5efb ...
[2026-08-20 20:49:38,654][ModelSerializer-1660164347216][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 20:49:40,437][ModelSerializer-1660164347216][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 20:49:45,091][ModelSerializer-1660164347216][INFO] -     Saved 8 stateful components to artifacts\run_20260820_203836_cc5efb\online_artifacts\stateful_components
[2026-08-20 20:49:45,100][ModelSerializer-1660164347216][INFO] -     Saved model.joblib
[2026-08-20 20:49:45,105][ModelSerializer-1660164347216][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 20:49:45,111][ModelSerializer-1660164347216][INFO] -     Saved shap_explainer.joblib
[2026-08-20 20:49:45,123][ModelSerializer-1660164347216][INFO] -     Saved metadata.json
[2026-08-20 20:49:45,123][ModelSerializer-1660164347216][INFO] - [Serialize] Done. Online artifacts ready for inference.
