[2026-08-20 21:45:17,259][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 21:45:17,529][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 21:45:18,197][ModelSerializer-2925206168848][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_213633_4088fc ...
[2026-08-20 21:45:24,458][ModelSerializer-2925206168848][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 21:45:25,973][ModelSerializer-2925206168848][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 21:45:27,996][ModelSerializer-2925206168848][INFO] -     Saved 8 stateful components to artifacts\run_20260820_213633_4088fc\online_artifacts\stateful_components
[2026-08-20 21:45:28,066][ModelSerializer-2925206168848][INFO] -     Saved model.joblib
[2026-08-20 21:45:28,069][ModelSerializer-2925206168848][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 21:45:28,125][ModelSerializer-2925206168848][INFO] -     Saved shap_explainer.joblib
[2026-08-20 21:45:28,136][ModelSerializer-2925206168848][INFO] -     Saved metadata.json
[2026-08-20 21:45:28,136][ModelSerializer-2925206168848][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-20 21:46:31,224][ModelSerializer-2925206168848][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_213633_4088fc ...
[2026-08-20 21:46:37,604][ModelSerializer-2925206168848][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 21:46:39,274][ModelSerializer-2925206168848][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 21:46:43,029][ModelSerializer-2925206168848][INFO] -     Saved 8 stateful components to artifacts\run_20260820_213633_4088fc\online_artifacts\stateful_components
[2026-08-20 21:46:43,184][ModelSerializer-2925206168848][INFO] -     Saved model.joblib
[2026-08-20 21:46:43,187][ModelSerializer-2925206168848][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 21:46:43,256][ModelSerializer-2925206168848][INFO] -     Saved shap_explainer.joblib
[2026-08-20 21:46:43,271][ModelSerializer-2925206168848][INFO] -     Saved metadata.json
[2026-08-20 21:46:43,271][ModelSerializer-2925206168848][INFO] - [Serialize] Done. Online artifacts ready for inference.
