[2026-08-20 22:44:36,042][ModelSerializer-1751258179168][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_223923_21c4fe ...
[2026-08-20 22:45:00,416][ModelSerializer-1751258179168][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 22:45:06,293][ModelSerializer-1751258179168][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 22:45:06,315][ModelSerializer-1751258179168][INFO] -     Saved 2 stateful components to artifacts\run_20260820_223923_21c4fe\online_artifacts\stateful_components
[2026-08-20 22:45:06,404][ModelSerializer-1751258179168][INFO] -     Saved model.joblib
[2026-08-20 22:45:06,409][ModelSerializer-1751258179168][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 22:45:06,426][ModelSerializer-1751258179168][INFO] -     Saved metadata.json
[2026-08-20 22:45:06,427][ModelSerializer-1751258179168][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-20 22:46:15,796][ModelSerializer-1751258179168][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_223923_21c4fe ...
[2026-08-20 22:46:41,035][ModelSerializer-1751258179168][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 22:46:47,089][ModelSerializer-1751258179168][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 22:46:47,111][ModelSerializer-1751258179168][INFO] -     Saved 2 stateful components to artifacts\run_20260820_223923_21c4fe\online_artifacts\stateful_components
[2026-08-20 22:46:47,232][ModelSerializer-1751258179168][INFO] -     Saved model.joblib
[2026-08-20 22:46:47,237][ModelSerializer-1751258179168][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 22:46:47,252][ModelSerializer-1751258179168][INFO] -     Saved metadata.json
[2026-08-20 22:46:47,252][ModelSerializer-1751258179168][INFO] - [Serialize] Done. Online artifacts ready for inference.
