[2026-08-20 23:00:56,380][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 23:00:59,160][shap][WARNING] - Background dataset has 472432 samples but max_samples=100. Subsampling to 100 samples for SHAP value computation. To use all samples, set max_samples=472432 when initializing the masker.
[2026-08-20 23:01:00,481][ModelSerializer-2006887573088][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_224931_cd07eb ...
[2026-08-20 23:01:28,011][ModelSerializer-2006887573088][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 23:01:34,871][ModelSerializer-2006887573088][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 23:01:38,122][ModelSerializer-2006887573088][INFO] -     Saved 8 stateful components to artifacts\run_20260820_224931_cd07eb\online_artifacts\stateful_components
[2026-08-20 23:01:38,250][ModelSerializer-2006887573088][INFO] -     Saved model.joblib
[2026-08-20 23:01:38,253][ModelSerializer-2006887573088][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 23:01:38,346][ModelSerializer-2006887573088][INFO] -     Saved shap_explainer.joblib
[2026-08-20 23:01:38,362][ModelSerializer-2006887573088][INFO] -     Saved metadata.json
[2026-08-20 23:01:38,363][ModelSerializer-2006887573088][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-20 23:03:20,981][ModelSerializer-2006887573088][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_224931_cd07eb ...
[2026-08-20 23:03:55,328][ModelSerializer-2006887573088][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 23:04:05,079][ModelSerializer-2006887573088][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 23:04:11,132][ModelSerializer-2006887573088][INFO] -     Saved 8 stateful components to artifacts\run_20260820_224931_cd07eb\online_artifacts\stateful_components
[2026-08-20 23:04:11,224][ModelSerializer-2006887573088][INFO] -     Saved model.joblib
[2026-08-20 23:04:11,228][ModelSerializer-2006887573088][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 23:04:11,310][ModelSerializer-2006887573088][INFO] -     Saved shap_explainer.joblib
[2026-08-20 23:04:11,329][ModelSerializer-2006887573088][INFO] -     Saved metadata.json
[2026-08-20 23:04:11,329][ModelSerializer-2006887573088][INFO] - [Serialize] Done. Online artifacts ready for inference.
