[2026-08-20 23:27:34,849][ModelSerializer-2077598099040][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_232249_1d0159 ...
[2026-08-20 23:27:57,154][ModelSerializer-2077598099040][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 23:28:03,074][ModelSerializer-2077598099040][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 23:28:03,100][ModelSerializer-2077598099040][INFO] -     Saved 2 stateful components to artifacts\run_20260820_232249_1d0159\online_artifacts\stateful_components
[2026-08-20 23:28:03,195][ModelSerializer-2077598099040][INFO] -     Saved model.joblib
[2026-08-20 23:28:03,198][ModelSerializer-2077598099040][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 23:28:03,211][ModelSerializer-2077598099040][INFO] -     Saved metadata.json
[2026-08-20 23:28:03,211][ModelSerializer-2077598099040][INFO] - [Serialize] Done. Online artifacts ready for inference.
[2026-08-20 23:29:02,891][ModelSerializer-2077598099040][INFO] - [Serialize] Saving pipeline artifacts to artifacts\run_20260820_232249_1d0159 ...
[2026-08-20 23:29:32,377][ModelSerializer-2077598099040][INFO] -     Saved train_features.parquet (472432 rows)
[2026-08-20 23:29:39,297][ModelSerializer-2077598099040][INFO] -     Saved val_features.parquet (118108 rows)
[2026-08-20 23:29:39,324][ModelSerializer-2077598099040][INFO] -     Saved 2 stateful components to artifacts\run_20260820_232249_1d0159\online_artifacts\stateful_components
[2026-08-20 23:29:39,405][ModelSerializer-2077598099040][INFO] -     Saved model.joblib
[2026-08-20 23:29:39,409][ModelSerializer-2077598099040][INFO] -     Saved threshold_optimizer.joblib
[2026-08-20 23:29:39,429][ModelSerializer-2077598099040][INFO] -     Saved metadata.json
[2026-08-20 23:29:39,429][ModelSerializer-2077598099040][INFO] - [Serialize] Done. Online artifacts ready for inference.
