column,action,reason,median,q1,q99,has_missing
TransactionAmt,keep,,68.94999694824219,9.503000259399414,1104.0,False
card1,keep,,9633.0,1333.0,18238.0,False
card2,keep,,361.0,100.0,583.0,True
card3,keep,,150.0,143.0,185.0,True
card5,keep,,226.0,102.0,226.0,True
addr1,keep,,299.0,123.0,512.0,True
addr2,keep,,87.0,87.0,87.0,True
dist1,keep,,9.0,0.0,2040.0,True
dist2,keep,,38.0,0.0,2390.0,True
C1,keep,,1.0,1.0,168.0,False
C2,keep,,1.0,1.0,157.0,False
C3,keep,,0.0,0.0,0.0,False
C4,keep,,0.0,0.0,6.0,False
C5,keep,,0.0,0.0,147.0,False
C6,keep,,1.0,0.0,120.0,False
C7,keep,,0.0,0.0,4.0,False
C8,keep,,0.0,0.0,12.0,False
C9,keep,,1.0,0.0,93.0,False
C10,keep,,0.0,0.0,17.0,False
C11,keep,,1.0,1.0,124.0,False
C12,keep,,0.0,0.0,5.0,False
C13,keep,,2.0,0.0,577.0,False
C14,keep,,1.0,0.0,129.0,False
D1,keep,,1.0,0.0,575.0,True
D2,keep,,97.0,0.0,591.0,True
D3,keep,,8.0,0.0,357.0,True
D4,keep,,22.0,0.0,589.0,True
D5,keep,,10.0,0.0,445.0,True
D6,keep,,0.0,0.0,577.1800000000003,True
D7,keep,,0.0,0.0,420.0,True
D8,keep,,41.83333206176758,0.0,971.4854370117164,True
D9,keep,,0.6666659712791443,0.0,0.9583330154418945,True
D10,keep,,12.0,0.0,588.0,True
D11,keep,,35.0,0.0,577.0,True
D12,keep,,0.0,0.0,494.0,True
D13,keep,,0.0,0.0,368.0,True
D14,keep,,0.0,0.0,549.0,True
D15,keep,,46.0,0.0,599.0,True
V1,keep,,1.0,1.0,1.0,True
V2,keep,,1.0,1.0,2.0,True
V3,keep,,1.0,1.0,2.0,True
V4,keep,,1.0,0.0,2.0,True
V5,keep,,1.0,0.0,2.0,True
V6,keep,,1.0,1.0,2.0,True
V7,keep,,1.0,1.0,2.0,True
V8,keep,,1.0,1.0,2.0,True
V9,keep,,1.0,1.0,2.0,True
V10,keep,,0.0,0.0,1.0,True
V11,keep,,0.0,0.0,2.0,True
V12,keep,,1.0,0.0,1.0,True
V13,keep,,1.0,0.0,2.0,True
V14,keep,,1.0,1.0,1.0,True
V15,keep,,0.0,0.0,1.0,True
V16,keep,,0.0,0.0,1.0,True
V17,keep,,0.0,0.0,1.0,True
V18,keep,,0.0,0.0,1.0,True
V19,keep,,1.0,0.0,2.0,True
V20,keep,,1.0,0.0,2.0,True
V21,keep,,0.0,0.0,1.0,True
V22,keep,,0.0,0.0,1.0,True
V23,keep,,1.0,1.0,2.0,True
V24,keep,,1.0,1.0,2.0,True
V25,keep,,1.0,0.0,1.0,True
V26,keep,,1.0,0.0,2.0,True
V27,keep,,0.0,0.0,0.0,True
V28,keep,,0.0,0.0,0.0,True
V29,keep,,0.0,0.0,1.0,True
V30,keep,,0.0,0.0,2.0,True
V31,keep,,0.0,0.0,1.0,True
V32,keep,,0.0,0.0,1.0,True
V33,keep,,0.0,0.0,1.0,True
V34,keep,,0.0,0.0,1.0,True
V35,keep,,1.0,0.0,1.0,True
V36,keep,,1.0,0.0,2.0,True
V37,keep,,1.0,1.0,3.0,True
V38,keep,,1.0,1.0,4.0,True
V39,keep,,0.0,0.0,1.0,True
V40,keep,,0.0,0.0,2.0,True
V41,keep,,1.0,1.0,1.0,True
V42,keep,,0.0,0.0,1.0,True
V43,keep,,0.0,0.0,2.0,True
V44,keep,,1.0,1.0,2.0,True
V45,keep,,1.0,1.0,3.0,True
V46,keep,,1.0,1.0,2.0,True
V47,keep,,1.0,1.0,2.0,True
V48,keep,,0.0,0.0,1.0,True
V49,keep,,0.0,0.0,2.0,True
V50,keep,,0.0,0.0,1.0,True
V51,keep,,0.0,0.0,1.0,True
V52,keep,,0.0,0.0,2.0,True
V53,keep,,1.0,0.0,1.0,True
V54,keep,,1.0,0.0,2.0,True
V55,keep,,1.0,1.0,3.0,True
V56,keep,,1.0,1.0,3.0,True
V57,keep,,0.0,0.0,1.0,True
V58,keep,,0.0,0.0,1.0,True
V59,keep,,0.0,0.0,1.0,True
V60,keep,,0.0,0.0,2.0,True
V61,keep,,1.0,0.0,2.0,True
V62,keep,,1.0,0.0,2.0,True
V63,keep,,0.0,0.0,1.0,True
V64,keep,,0.0,0.0,2.0,True
V65,keep,,1.0,1.0,1.0,True
V66,keep,,1.0,0.0,2.0,True
V67,keep,,1.0,0.0,2.0,True
V68,keep,,0.0,0.0,0.0,True
V69,keep,,0.0,0.0,2.0,True
V70,keep,,0.0,0.0,2.0,True
V71,keep,,0.0,0.0,1.0,True
V72,keep,,0.0,0.0,1.0,True
V73,keep,,0.0,0.0,1.0,True
V74,keep,,0.0,0.0,1.0,True
V75,keep,,1.0,0.0,1.0,True
V76,keep,,1.0,0.0,2.0,True
V77,keep,,1.0,1.0,3.0,True
V78,keep,,1.0,1.0,4.0,True
V79,keep,,0.0,0.0,1.0,True
V80,keep,,0.0,0.0,1.0,True
V81,keep,,0.0,0.0,2.0,True
V82,keep,,1.0,0.0,2.0,True
V83,keep,,1.0,0.0,2.0,True
V84,keep,,0.0,0.0,1.0,True
V85,keep,,0.0,0.0,2.0,True
V86,keep,,1.0,1.0,2.0,True
V87,keep,,1.0,1.0,3.0,True
V88,keep,,1.0,1.0,1.0,True
V89,keep,,0.0,0.0,0.0,True
V90,keep,,0.0,0.0,2.0,True
V91,keep,,0.0,0.0,2.0,True
V92,keep,,0.0,0.0,1.0,True
V93,keep,,0.0,0.0,1.0,True
V94,keep,,0.0,0.0,1.0,True
V95,keep,,0.0,0.0,3.0,True
V96,keep,,0.0,0.0,16.0,True
V97,keep,,0.0,0.0,7.0,True
V98,keep,,0.0,0.0,1.0,True
V99,keep,,0.0,0.0,9.0,True
V100,keep,,0.0,0.0,3.0,True
V101,keep,,0.0,0.0,3.0,True
V102,keep,,0.0,0.0,7.0,True
V103,keep,,0.0,0.0,4.0,True
V104,keep,,0.0,0.0,1.0,True
V105,keep,,0.0,0.0,2.0,True
V106,keep,,0.0,0.0,2.0,True
V107,keep,,1.0,1.0,1.0,True
V108,keep,,1.0,1.0,1.0,True
V109,keep,,1.0,1.0,2.0,True
V110,keep,,1.0,1.0,1.0,True
V111,keep,,1.0,1.0,1.0,True
V112,keep,,1.0,1.0,1.0,True
V113,keep,,1.0,1.0,1.0,True
V114,keep,,1.0,1.0,1.0,True
V115,keep,,1.0,1.0,2.0,True
V116,keep,,1.0,1.0,2.0,True
V117,keep,,1.0,1.0,1.0,True
V118,keep,,1.0,1.0,1.0,True
V119,keep,,1.0,1.0,1.0,True
V120,keep,,1.0,1.0,1.0,True
V121,keep,,1.0,1.0,1.0,True
V122,keep,,1.0,1.0,1.0,True
V123,keep,,1.0,1.0,2.0,True
V124,keep,,1.0,1.0,2.0,True
V125,keep,,1.0,1.0,2.0,True
V126,keep,,0.0,0.0,755.0,True
V127,keep,,0.0,0.0,2406.0,True
V128,keep,,0.0,0.0,1288.4356225585768,True
V129,keep,,0.0,0.0,209.9499969482422,True
V130,keep,,0.0,0.0,1215.4619677734195,True
V131,keep,,0.0,0.0,524.9500122070312,True
V132,keep,,0.0,0.0,400.0,True
V133,keep,,0.0,0.0,1098.5,True
V134,keep,,0.0,0.0,664.0,True
V135,keep,,0.0,0.0,300.0,True
V136,keep,,0.0,0.0,501.0,True
V137,keep,,0.0,0.0,390.0,True
V138,keep,,0.0,0.0,1.0,True
V139,keep,,1.0,0.0,6.0,True
V140,keep,,1.0,0.0,7.0,True
V141,keep,,0.0,0.0,1.0,True
V142,keep,,0.0,0.0,1.0,True
V143,keep,,0.0,0.0,37.0,True
V144,keep,,0.0,0.0,49.0,True
V145,keep,,0.0,0.0,286.0,True
V146,keep,,0.0,0.0,3.0,True
V147,keep,,0.0,0.0,3.0,True
V148,keep,,1.0,0.0,2.0,True
V149,keep,,1.0,0.0,2.0,True
V150,keep,,1.0,1.0,3347.0,True
V151,keep,,1.0,1.0,55.0,True
V152,keep,,1.0,1.0,68.0,True
V153,keep,,1.0,0.0,2.0,True
V154,keep,,1.0,0.0,2.0,True
V155,keep,,1.0,0.0,2.0,True
V156,keep,,1.0,0.0,2.0,True
V157,keep,,1.0,0.0,3.0,True
V158,keep,,1.0,0.0,3.0,True
V159,keep,,0.0,0.0,38504.848750000005,True
V160,keep,,0.0,0.0,627869.6875,True
V161,keep,,0.0,0.0,125.0,True
V162,keep,,0.0,0.0,150.0,True
V163,keep,,0.0,0.0,150.0,True
V164,keep,,0.0,0.0,3225.0,True
V165,keep,,0.0,0.0,16848.94921875,True
V166,keep,,0.0,0.0,4644.0,True
V167,keep,,0.0,0.0,9.0,True
V168,keep,,0.0,0.0,14.0,True
V169,keep,,0.0,0.0,4.0,True
V170,keep,,1.0,0.0,8.0,True
V171,keep,,1.0,0.0,9.0,True
V172,keep,,0.0,0.0,2.0,True
V173,keep,,0.0,0.0,1.0,True
V174,keep,,0.0,0.0,2.0,True
V175,keep,,0.0,0.0,2.0,True
V176,keep,,1.0,1.0,8.0,True
V177,keep,,0.0,0.0,6.0,True
V178,keep,,0.0,0.0,15.0,True
V179,keep,,0.0,0.0,10.0,True
V180,keep,,0.0,0.0,6.0,True
V181,keep,,0.0,0.0,3.0,True
V182,keep,,0.0,0.0,6.0,True
V183,keep,,0.0,0.0,4.0,True
V184,keep,,0.0,0.0,2.0,True
V185,keep,,0.0,0.0,3.0,True
V186,keep,,1.0,1.0,4.0,True
V187,keep,,1.0,1.0,8.0,True
V188,keep,,1.0,0.0,3.0,True
V189,keep,,1.0,0.0,3.0,True
V190,keep,,1.0,1.0,6.0,True
V191,keep,,1.0,1.0,2.0,True
V192,keep,,1.0,1.0,3.0,True
V193,keep,,1.0,1.0,2.0,True
V194,keep,,1.0,0.0,2.0,True
V195,keep,,1.0,0.0,2.0,True
V196,keep,,1.0,1.0,2.0,True
V197,keep,,1.0,0.0,2.0,True
V198,keep,,1.0,0.0,2.0,True
V199,keep,,1.0,1.0,6.0,True
V200,keep,,1.0,0.0,4.0,True
V201,keep,,1.0,0.0,5.0,True
V202,keep,,0.0,0.0,1500.0,True
V203,keep,,0.0,0.0,3800.4000000000815,True
V204,keep,,0.0,0.0,2700.0,True
V205,keep,,0.0,0.0,209.35261322021753,True
V206,keep,,0.0,0.0,119.74819946289062,True
V207,keep,,0.0,0.0,500.0,True
V208,keep,,0.0,0.0,160.0,True
V209,keep,,0.0,0.0,280.0,True
V210,keep,,0.0,0.0,192.65984191894577,True
V211,keep,,0.0,0.0,750.0,True
V212,keep,,0.0,0.0,1946.0107348632978,True
V213,keep,,0.0,0.0,1332.5729614258178,True
V214,keep,,0.0,0.0,500.0,True
V215,keep,,0.0,0.0,1350.0,True
V216,keep,,0.0,0.0,900.0,True
V217,keep,,0.0,0.0,8.0,True
V218,keep,,0.0,0.0,14.0,True
V219,keep,,0.0,0.0,10.0,True
V220,keep,,0.0,0.0,5.0,True
V221,keep,,1.0,0.0,8.0,True
V222,keep,,1.0,0.0,9.0,True
V223,keep,,0.0,0.0,1.0,True
V224,keep,,0.0,0.0,4.0,True
V225,keep,,0.0,0.0,2.0,True
V226,keep,,0.0,0.0,3.0,True
V227,keep,,0.0,0.0,2.0,True
V228,keep,,1.0,1.0,7.0,True
V229,keep,,1.0,1.0,9.0,True
V230,keep,,1.0,1.0,8.0,True
V231,keep,,0.0,0.0,7.0,True
V232,keep,,0.0,0.0,9.0,True
V233,keep,,0.0,0.0,8.0,True
V234,keep,,0.0,0.0,65.0,True
V235,keep,,0.0,0.0,3.0,True
V236,keep,,0.0,0.0,3.0,True
V237,keep,,0.0,0.0,3.0,True
V238,keep,,0.0,0.0,2.0,True
V239,keep,,0.0,0.0,3.0,True
V240,keep,,1.0,1.0,1.0,True
V241,keep,,1.0,1.0,1.0,True
V242,keep,,1.0,1.0,4.0,True
V243,keep,,1.0,1.0,4.0,True
V244,keep,,1.0,1.0,4.0,True
V245,keep,,1.0,0.0,3.0,True
V246,keep,,1.0,1.0,5.0,True
V247,keep,,1.0,1.0,2.0,True
V248,keep,,1.0,1.0,2.0,True
V249,keep,,1.0,1.0,2.0,True
V250,keep,,1.0,0.0,2.0,True
V251,keep,,1.0,0.0,2.0,True
V252,keep,,1.0,1.0,2.0,True
V253,keep,,1.0,1.0,3.0,True
V254,keep,,1.0,1.0,2.0,True
V255,keep,,1.0,0.0,2.0,True
V256,keep,,1.0,0.0,2.0,True
V257,keep,,1.0,1.0,6.0,True
V258,keep,,1.0,1.0,7.0,True
V259,keep,,1.0,0.0,4.0,True
V260,keep,,1.0,0.0,2.0,True
V261,keep,,1.0,0.0,4.0,True
V262,keep,,1.0,0.0,3.0,True
V263,keep,,0.0,0.0,1010.1180822754156,True
V264,keep,,0.0,0.0,1500.0,True
V265,keep,,0.0,0.0,1250.0,True
V266,keep,,0.0,0.0,148.63319396972656,True
V267,keep,,0.0,0.0,325.0,True
V268,keep,,0.0,0.0,200.0,True
V269,keep,,0.0,0.0,50.0,True
V270,keep,,0.0,0.0,150.0,True
V271,keep,,0.0,0.0,200.0,True
V272,keep,,0.0,0.0,161.68389892578125,True
V273,keep,,0.0,0.0,625.2290100097669,True
V274,keep,,0.0,0.0,900.0,True
V275,keep,,0.0,0.0,800.0,True
V276,keep,,0.0,0.0,500.0,True
V277,keep,,0.0,0.0,600.0,True
V278,keep,,0.0,0.0,500.0,True
V279,keep,,0.0,0.0,4.0,True
V280,keep,,0.0,0.0,9.0,True
V281,keep,,0.0,0.0,2.0,True
V282,keep,,1.0,0.0,4.0,True
V283,keep,,1.0,0.0,6.0,True
V284,keep,,0.0,0.0,1.0,True
V285,keep,,0.0,0.0,10.0,True
V286,keep,,0.0,0.0,1.0,True
V287,keep,,0.0,0.0,4.0,True
V288,keep,,0.0,0.0,2.0,True
V289,keep,,0.0,0.0,3.0,True
V290,keep,,1.0,1.0,3.0,True
V291,keep,,1.0,1.0,5.0,True
V292,keep,,1.0,1.0,4.0,True
V293,keep,,0.0,0.0,3.0,True
V294,keep,,0.0,0.0,10.0,True
V295,keep,,0.0,0.0,6.0,True
V296,keep,,0.0,0.0,3.0,True
V297,keep,,0.0,0.0,2.0,True
V298,keep,,0.0,0.0,3.0,True
V299,keep,,0.0,0.0,2.0,True
V300,keep,,0.0,0.0,1.0,True
V301,keep,,0.0,0.0,1.0,True
V302,keep,,0.0,0.0,1.0,True
V303,keep,,0.0,0.0,2.0,True
V304,keep,,0.0,0.0,2.0,True
V305,keep,,1.0,1.0,1.0,True
V306,keep,,0.0,0.0,944.9500122070312,True
V307,keep,,0.0,0.0,3230.0,True
V308,keep,,0.0,0.0,1670.0,True
V309,keep,,0.0,0.0,226.0,True
V310,keep,,0.0,0.0,1499.0,True
V311,keep,,0.0,0.0,105.9000015258789,True
V312,keep,,0.0,0.0,619.6884802246074,True
V313,keep,,0.0,0.0,335.0,True
V314,keep,,0.0,0.0,698.5,True
V315,keep,,0.0,0.0,452.0,True
V316,keep,,0.0,0.0,513.9560485839838,True
V317,keep,,0.0,0.0,1675.0,True
V318,keep,,0.0,0.0,918.0,True
V319,keep,,0.0,0.0,323.8500061035156,True
V320,keep,,0.0,0.0,600.0,True
V321,keep,,0.0,0.0,445.0,True
V322,keep,,0.0,0.0,5.0,True
V323,keep,,0.0,0.0,16.0,True
V324,keep,,0.0,0.0,7.0,True
V325,keep,,0.0,0.0,1.0,True
V326,keep,,0.0,0.0,11.0,True
V327,keep,,0.0,0.0,3.0,True
V328,keep,,0.0,0.0,3.0,True
V329,keep,,0.0,0.0,3.0,True
V330,keep,,0.0,0.0,3.0,True
V331,keep,,0.0,0.0,1200.0,True
V332,keep,,0.0,0.0,1600.0,True
V333,keep,,0.0,0.0,1400.0,True
V334,keep,,0.0,0.0,150.0,True
V335,keep,,0.0,0.0,558.2000000000116,True
V336,keep,,0.0,0.0,300.0,True
V337,keep,,0.0,0.0,600.0,True
V338,keep,,0.0,0.0,600.0,True
V339,keep,,0.0,0.0,600.0,True
