column,dtype,missing_rate,unique_count,is_numeric,mean,std,min,max,q25,q50,q75
TransactionAmt,float32,0.0,18131,True,134.40138244628906,237.55796813964844,0.25099998712539673,31937.390625,42.95000076293945,68.94999694824219,125.0
ProductCD,object,0.0,5,False,,,,,,,
card1,uint16,0.0,12730,True,9867.868400108375,4899.160178362383,1000.0,18396.0,6019.0,9633.0,14128.0
card2,float32,0.0149,501,True,362.8612365722656,158.07090759277344,100.0,600.0,210.0,361.0,512.0
card3,float32,0.0017,107,True,153.30462646484375,11.49156665802002,100.0,231.0,150.0,150.0,150.0
card4,object,0.0018,5,False,,,,,,,
card5,float32,0.0067,114,True,199.5947265625,40.876007080078125,100.0,237.0,166.0,226.0,226.0
card6,object,0.0018,5,False,,,,,,,
addr1,float32,0.1138,329,True,290.470703125,101.88082122802734,100.0,540.0,204.0,299.0,330.0
addr2,float32,0.1138,71,True,86.77257537841797,2.874143362045288,10.0,102.0,87.0,87.0,87.0
dist1,float32,0.6078,2590,True,121.4555435180664,375.5234069824219,0.0,10286.0,3.0,9.0,25.0
dist2,float32,0.9321,1665,True,237.7749786376953,537.4442749023438,0.0,11623.0,7.0,38.0,219.0
P_emaildomain,object,0.1558,60,False,,,,,,,
R_emaildomain,object,0.7595,61,False,,,,,,,
C1,float32,0.0,1591,True,15.232353210449219,146.38031005859375,0.0,4685.0,1.0,1.0,3.0
C2,float32,0.0,1103,True,16.616073608398438,169.83746337890625,0.0,5691.0,1.0,1.0,3.0
C3,float32,0.0,24,True,0.005437819752842188,0.15167926251888275,0.0,25.0,0.0,0.0,0.0
C4,float32,0.0,1218,True,4.638235569000244,74.42387390136719,0.0,2253.0,0.0,0.0,0.0
C5,float32,0.0,312,True,5.483623027801514,25.444557189941406,0.0,349.0,0.0,0.0,1.0
C6,float32,0.0,1294,True,9.602988243103027,76.83206176757812,0.0,2253.0,1.0,1.0,2.0
C7,float32,0.0,1102,True,3.4869272708892822,68.97984313964844,0.0,2255.0,0.0,0.0,0.0
C8,float32,0.0,1226,True,6.074963092803955,106.09508514404297,0.0,3331.0,0.0,0.0,1.0
C9,float32,0.0,205,True,4.3681416511535645,16.450969696044922,0.0,210.0,0.0,1.0,2.0
C10,float32,0.0,1163,True,6.197605133056641,106.38192749023438,0.0,3257.0,0.0,0.0,0.0
C11,float32,0.0,1421,True,11.034772872924805,102.9050521850586,0.0,3188.0,1.0,1.0,2.0
